Region;Zone;Wereda;pcode;Date;directely affected;Indirectly Affected;Affected;Deaths;Injured;Crop Damages;Lost Cattle ;Relocated ;Houses Destroyed 
OROMIA;South West Shoa;Illu Galan;40500;01/07/2010;;14600;14600;;;950;0;;
Harari;Harar;Sofi;130101;07/09/2005;;;;;;1835;0;;
Harari;Harar;Sofi;130101;07/09/2005;;;;;;148;0;;
Harari;Harar;Sofi;130101;07/09/2005;;;;;;115;0;;
Somali;Liben;Guradamole;50801;05/12/2005;;23000;23000;16;;;0;;
Somali;Liben;Guradamole;50801;07/09/2005;;;;;;;0;;20
Harari;Harar;Sofi;130101;07/09/2005;;;;;;74.5;0;;
Harari;Harar;Sofi;130101;07/09/2005;;;;;;71;0;;
Harari;Harar;Sofi;130101;07/09/2005;;;;;;3.5;0;;
Harari;Harar;Sofi;130101;07/09/2005;;;;;;1.5;0;;
Harari;Harar;Sofi;130101;22/06/2001;;40;40;;;;0;;
Harari;Harar;Sofi;130101;22/06/2001;;5;5;;;;0;;
Tigray;North Western Tigray;Humera /Town/;10501;01/08/2010;;6909;6909;;;;0;;
Tigray;North Western Tigray;Humera /Town/;10501;07/09/2007;;462;462;;;;0;;
Tigray;North Western Tigray;Humera /Town/;10501;01/08/2006;;;;;;;0;400;
Tigray;Southern Tigray;Hintalo Wajirat;10603;01/07/2010;;1140;1140;;;769;0;;
Tigray;Southern Tigray;Hintalo Wajirat;10603;01/07/2010;;2495;2495;;;;0;161;
SNNPR;Wolayita;Sodo Zuria;70605;07/09/2006;;1363;1363;;;;0;;
SNNPR;Wolayita;Sodo Zuria;70605;07/09/2005;;1363;1363;;;600;0;;17
SNNPR;Wolayita;Sodo Zuria;70605;05/12/2005;;;;;;631;0;1363;17
SNNPR;Wolayita;Ofa;70607;07/09/2006;;6240;6240;;;;0;;
SNNPR;Wolayita;Ofa;70607;01/08/2005;;70;70;1;;20;0;;
SNNPR;Wolayita;Ofa;70607;01/08/2004;;;;;;160;0;;
SNNPR;Wolayita;Ofa;70607;01/04/2004;;;;;;284;0;;109
SNNPR;Wolayita;Ofa;70607;02/12/2002;;;;;;402;0;;
SNNPR;Wolayita;Humbo;70604;07/12/2007;;6768;6768;;;364;3;3270;654
SNNPR;Wolayita;Humbo;70604;07/09/2006;;7885;7885;;;;0;;
SNNPR;Wolayita;Humbo;70604;06/12/2006;;;;;;435;0;1075;
SNNPR;Wolayita;Humbo;70604;07/09/2005;;6755;6755;2;;1017;0;;
SNNPR;Wolayita;Humbo;70604;05/12/2005;;;;2;;1017;1525;6755;
SNNPR;Wolayita;Damot Sore;70609;07/09/2008;;12000;12000;;;200;0;;
SNNPR;Wolayita;Damot Sore;70609;07/09/2007;;6000;6000;;;400;0;;
SNNPR;Wolayita;Damot Sore;70609;07/09/2006;;650;650;;;39;0;;
SNNPR;Wolayita;Damot Sore;70609;07/09/2006;;860;860;;;10;0;;
SNNPR;Wolayita;Damot Sore;70609;07/09/2005;;1000;1000;12;;150;40;4;
SNNPR;Wolayita;Damot Sore;70609;07/09/2004;;;;;;80;0;;
SNNPR;Wolayita;Damot Sore;70609;07/09/2002;;400;400;;;15;0;;
Somali;Fefan;Harshin;50207;07/09/2005;;3050;3050;;;;0;;25
Tigray;Eastern Tigray;Gulo Meheda;10301;01/08/2010;;806;806;;;115;0;;
Amhara;North Wello;Guba Lafto;30307;01/08/2010;;26142;26142;;;1783;9;;
SNNPR;South Omo;Male;70707;07/09/2007;;30000;30000;;;;0;;
Amhara;Central Gondar;Gonder Zuria;30110;01/08/2010;;200;200;;;155;0;;
Amhara;Central Gondar;Gondar Zuria;30110;07/09/2007;;;;;;;11;;
Amhara;Central Gondar;Gondar Zuria;30110;07/09/2006;;2810;2810;;;;29;3529;
Amhara;Central Gondar;Gondar Zuria;30110;01/12/2006;;;;;;1500;0;;
Amhara;Central Gondar;Gondar Zuria;30110;06/12/2006;;1533;1533;;;;39;437;
OROMIA;Bale;Gololcha Bale;41105;01/07/2010;;5000;5000;;;;0;;
OROMIA;Bale;Gololcha Bale;41105;07/09/2008;;1803;1803;;;;0;;
OROMIA;Bale;Gololcha Bale;41105;07/09/2007;;11882;11882;;;2409;0;;
SNNPR;South Omo;Hamer;70704;07/09/2007;;809;809;;;;0;;
SNNPR;South Omo;Hamer;70704;07/09/2007;;943;943;;;;0;;
SNNPR;South Omo;Hamer;70704;07/09/2007;;845;845;;;;0;;
SNNPR;South Omo;Hamer;70704;07/09/2007;;1263;1263;;;;0;;
SNNPR;South Omo;Hamer;70704;07/09/2007;;1417;1417;;;;0;;
SNNPR;South Omo;Hamer;70704;07/09/2007;;1420;1420;;;;0;;
SNNPR;South Omo;Hamer;70704;07/09/2007;;20000;20000;;;;0;;
SNNPR;South Omo;Hamer;70704;07/09/2007;;1843;1843;;;;0;;
SNNPR;South Omo;Hamer;70704;07/09/2007;;1843;1843;;;;0;;
SNNPR;South Omo;Hamer;70704;07/09/2007;;1843;1843;;;;0;;
SNNPR;South Omo;Hamer;70704;07/09/2002;;;;;;40;0;;
SNNPR;South Omo;Gelila;70703;07/09/2007;;15000;15000;;;;0;;
OROMIA;Arsi;Golocha;40803;16/04/2005;;;;;;;0;;20
Afar;Afar Zone 3;Gewane ;20303;10/08/2012;5000;;5000;;;;;;
OROMIA;Bale;Gasera;41106;01/07/2010;;9300;9300;;;;0;;
Tigray;Eastern Tigray;Ganta Afshum;10304;01/08/2010;;8310;8310;;;277;0;;
Gambella;Agnewak;Gambella Town;120202;07/09/2000;;6;6;;;;0;61592;
OROMIA;East Shewa;Fientale;40701;01/08/2010;;9000;9000;;;46;0;900;
OROMIA;East Shewa;Fientale;40701;07/09/2007;;560;560;;;;0;;
OROMIA;East Shewa;Fientale;40701;20/04/2007;;560;560;;;31;0;;
SNNPR;Gurage;Enemor Ener;70111;01/08/2005;;;;;;381;0;;
SNNPR;Gurage;Enemor Ener;70111;01/08/2004;;6000;6000;1;;487;3;;
Amhara;East Gojam;Enebse Sarmder;30604;01/08/2010;;9910;9910;;;528;464;;
Amhara;North Shewa;Eferatana Gidem;30508;16/05/2009;;124;124;;;;13;124;39
Amhara;North Shewa;Eferatana Gidem;30508;01/08/2007;;;;;;195;0;;14
Amhara;North Shewa;Eferatana Gidem;30508;07/09/2006;;77;77;;;135.15;17;;
Amhara;North Shewa;Eferatana Gidem;30508;12/08/2006;;77;77;;;3.01;0;77;
Amhara;North Shewa;Eferatana Gidem;30508;07/09/2000;;;;2;;;0;;
Somali;Shebelle;East Imey;50601;02/11/2015;102000;;102000;5;;;10000;;
Amhara;Central Gondar;East Belesa;30117;01/08/2010;;1134;1134;;;540;31;;
Afar;Afar Zone 3;Dulecha;20304;07/09/2006;;4443;4443;;;;332;4000;
Afar;Afar Zone 3;Dulecha;20304;01/08/2006;;4000;4000;;;;0;;
Dire Dawa;Dire Dawa urban;Addis Ketema (Dire Dawa);150109;06/12/2006;;;;371;228;;0;;1685
Dire Dawa;Dire Dawa urban;Addis Ketema (Dire Dawa);150109;07/09/2005;;;;32;;;0;;
SNNPR;South Omo;Gelila;70703;05/08/2002;;;;3;;;0;;
Dire Dawa;Dire Dawa urban;Addis Ketema (Dire Dawa);150109;20/05/2005;;;;27;;;0;;
Dire Dawa;Dire Dawa urban;Addis Ketema (Dire Dawa);150109;20/05/2005;;;;32;;;0;;
Amhara;Oromia;Dewa Harewa;31001;07/09/2006;;2219;2219;;;509;0;739;
SNNPR;Silte;Sankura;72006;01/07/2004;;1920;1920;1;;1063;348;;
Amhara;Oromia;Dewa Harewa;31001;07/09/2006;;4125;4125;;;;0;;
Amhara;Oromia;Dewa Harewa;31001;07/09/2006;;2645;2645;;;1441;178;2645;638
Amhara;South Wello;Dessie Zuria;30409;01/08/2010;;27687;27687;;;1735;2;14;
Amhara;South Wello;Dessie Zuria;30409;01/06/2004;;;;4;10;;0;;
Amhara;South Wello;Dessie City Adm.;30409;01/08/2010;;8421;8421;;;478;17;55;
SNNPR;Sidama;Dara;70406;07/09/2007;;3240;3240;;;;0;;
SNNPR;Sidama;Dara;70406;07/09/2007;;3240;3240;;;;0;;
SNNPR;Sidama;Dara;70406;07/09/2007;;2470;2470;;;;0;;
SNNPR;Sidama;Dara;70406;07/12/2007;;3240;3240;;;370;0;;100
SNNPR;Sidama;Dara;70406;01/05/2004;;;;2;;1040;0;;
SNNPR;Sidama;Dale;70404;07/09/2006;;2580;2580;;;;0;;
SNNPR;Sidama;Dale;70404;07/09/2006;;3600;3600;;;;0;;
SNNPR;Sidama;Dale;70404;06/12/2006;;;;2;1;;8;;25
SNNPR;Gamugofa;Deramalo;71009;07/09/2006;;1658;1658;;;;0;;
