source,Area,Date,Certainty,Impact,People Affected,Deaths,flood
http://www.monitor.co.ug/OpEd/Commentary/-/689364/773076/-/b1q7g1z/-/index.html,Kampala,08/11/2007,4,L,,,1
https://www.newvision.co.ug/new_vision/news/1215221/killed-kampala-floods,Kampala,16/11/2007,8,M,,4,1
http://www.monitor.co.ug/News/Education/-/688336/797164/-/10iqgcf/-/index.html,Kampala,19/11/2007,4,L,,,1
http://www.monitor.co.ug/News/Education/-/688336/797244/-/10iqh34/-/index.html,Kampala,20/11/2007,4,L,,,1
http://www.newvision.co.ug/news/480119--100m-project-to-end-kampala-flooding.html,Kampala,21/11/2007,4,L,,,1
http://www.monitor.co.ug/Business/Commodities/-/688610/797488/-/h03nv2/-/index.html,Kampala,22/11/2007,4,L,,,1
http://www.monitor.co.ug/Magazines/PeoplePower/-/689844/797970/-/4r7rcd/-/index.html,Kampala,27/11/2007,4,L,,,1
http://www.monitor.co.ug/Business/Commodities/-/688610/799636/-/h053xt/-/index.html,Kampala,12/12/2007,4,L,,,1
http://www.monitor.co.ug/Business/Commodities/-/688610/800542/-/hdhp0i/-/index.html,Kampala,20/12/2007,4,L,,,1
http://www.monitor.co.ug/News/Education/-/688336/749032/-/10fp4n1/-/index.html,Kampala,09/01/2008,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/726870/-/vw2s9y/-/index.html,Kampala,26/01/2008,4,L,,,1
http://www.newvision.co.ug/news/525137-in-brief.html,Kampala,03/02/2008,4,L,,,1
http://www.monitor.co.ug/News/Education/-/688336/728960/-/10egjnx/-/index.html,Kampala,15/02/2008,4,L,,,1
http://www.monitor.co.ug/OpEd/Letters/-/806314/729048/-/3gx0kuz/-/index.html,Kampala,16/02/2008,4,L,,,1
http://www.monitor.co.ug/News/Education/-/688336/729848/-/10eh864/-/index.html,Kampala,23/02/2008,4,L,,,1
http://www.monitor.co.ug/OpEd/Letters/-/806314/739746/-/3gbb7ez/-/index.html,Kampala,06/03/2008,4,L,,,1
http://www.monitor.co.ug/Business/Commodities/-/688610/749222/-/gw2bbf/-/index.html,Kampala,09/03/2008,4,L,,,1
http://www.monitor.co.ug/News/Education/-/688336/732558/-/10exthq/-/index.html,Kampala,20/03/2008,4,L,,,1
http://www.newvision.co.ug/news/523264-kampala-flooded-by-overnight-rains.html,Kampala,28/03/2008,4,L,,,1
http://www.newvision.co.ug/news/523194-200-houses-built-in-kinawataka-swamp.html,Kampala,30/03/2008,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/755844/-/vxvpk7/-/index.html,Kampala,11/04/2008,4,L,,,1
http://www.monitor.co.ug/artsculture/-/691192/736046/-/fbumhlz/-/index.html,Kampala,26/04/2008,4,L,,,1
http://www.monitor.co.ug/OpEd/Letters/-/806314/737970/-/3gcn7cz/-/index.html,Kampala,16/05/2008,4,L,,,1
http://www.newvision.co.ug/news/518495-works-probe-flooding.html,Kampala,31/05/2008,4,L,,,1
http://www.monitor.co.ug/artsculture/-/691192/737132/-/fbtweyz/-/index.html,Kampala,05/06/2008,4,L,,,1
http://www.monitor.co.ug/News/Education/-/688336/744988/-/10flu8v/-/index.html,Kampala,25/07/2008,4,L,,,1
http://www.newvision.co.ug/news/513930-fake-solar-panels-flood-market.html,Kampala,29/07/2008,4,L,,,1
http://www.monitor.co.ug/News/Education/-/688336/724934/-/10edrbp/-/index.html,Kampala,01/08/2008,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/760268/-/vyen7s/-/index.html,Kampala,12/08/2008,4,L,,,1
http://www.monitor.co.ug/News/Education/-/688336/747288/-/10fnrp7/-/index.html,Kampala,16/08/2008,4,L,,,1
http://www.monitor.co.ug/News/Education/-/688336/748414/-/10foiey/-/index.html,Kampala,26/08/2008,4,L,,,1
http://www.monitor.co.ug/Business/Commodities/-/688610/750708/-/gwhp7v/-/index.html,Kampala,17/09/2008,4,L,,,1
http://www.monitor.co.ug/Business/Commodities/-/688610/753172/-/gwjnmo/-/index.html,Kampala,10/10/2008,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/725168/-/vw1xfx/-/index.html,Kampala,01/11/2008,4,L,,,1
http://www.monitor.co.ug/News/Education/-/688336/695462/-/yymebn/-/index.html,Kampala,30/01/2009,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/697006/-/vhbcnw/-/index.html,Kampala,14/02/2009,4,L,,,1
http://www.newvision.co.ug/news/575095-kcc-project-to-end-bwaise-floods.html,Kampala,23/02/2009,4,L,,,1
http://www.monitor.co.ug/Magazines/PeoplePower/-/689844/720504/-/4mr1j2/-/index.html,Kampala,10/04/2009,4,L,,,1
http://www.monitor.co.ug/Business/Commodities/-/688610/703782/-/gth3vq/-/index.html,Kampala,16/04/2009,4,L,,,1
http://www.newvision.co.ug/news/570670-gulu-hospital-sues-microcare.html,Kampala,26/04/2009,4,L,,,1
http://www.monitor.co.ug/artsculture/-/691192/705922/-/fdpqhhz/-/index.html,Kampala,05/05/2009,4,L,,,1
http://www.monitor.co.ug/artsculture/-/691192/714828/-/fd4womz/-/index.html,Kampala,08/05/2009,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/819428/-/wfkysv/-/index.html,Kampala,12/05/2009,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/707928/-/b5y0hsz/-/index.html,Kampala,26/05/2009,4,L,,,1
http://www.monitor.co.ug/News/Education/-/688336/702670/-/10d48ms/-/index.html,Kampala,04/06/2009,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/711388/-/b5gr2xz/-/index.html,Kampala,30/06/2009,4,L,,,1
http://www.monitor.co.ug/Business/Auto/-/688614/713712/-/hejfniz/-/index.html,Kampala,22/07/2009,4,L,,,1
http://www.newvision.co.ug/news/539912-police-accuses-dp-of-breaching-law.html,Kampala,23/07/2009,4,L,,,1
http://www.newvision.co.ug/news/559438-upc-suspends-four-senior-officials.html,Kampala,10/08/2009,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/716886/-/b5d6juz/-/index.html,Kampala,28/08/2009,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/718554/-/b5buclz/-/index.html,Kampala,14/09/2009,4,L,,,1
http://www.monitor.co.ug/News/Education/-/688336/718964/-/10du0rq/-/index.html,Kampala,18/09/2009,4,L,,,1
http://www.monitor.co.ug/Magazines/Farming/-/689860/812850/-/wqod5b/-/index.html,Kampala,25/11/2009,4,L,,,1
http://www.newvision.co.ug/news/578202-akright-in-dispute-with-us-based-client.html,Kampala,01/12/2009,4,L,,,1
http://www.monitor.co.ug/OpEd/Letters/-/806314/712530/-/3hoat7z/-/index.html,Kampala,07/12/2009,4,L,,,1
http://www.monitor.co.ug/OpEd/Letters/-/806314/824522/-/2wxmkmz/-/index.html,Kampala,18/12/2009,4,L,,,1
http://www.monitor.co.ug/artsculture/Travel/-/691238/827618/-/oyt05z/-/index.html,Kampala,21/12/2009,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/828276/-/akmn13z/-/index.html,Kampala,22/12/2009,4,L,,,1
