index,countryCodeISO3,adminLevel,placeCode,indicator,value
352,ETH,3,ET030611,populationTotal,205676
353,ETH,3,ET030612,populationTotal,166698
354,ETH,3,ET030613,populationTotal,135970
355,ETH,3,ET030614,populationTotal,148468
356,ETH,3,ET030615,populationTotal,110678
357,ETH,3,ET030616,populationTotal,83633
358,ETH,3,ET030617,populationTotal,133390
359,ETH,3,ET030618,populationTotal,11641
360,ETH,3,ET030619,populationTotal,70958
361,ETH,3,ET030620,populationTotal,18855
362,ETH,3,ET030621,populationTotal,14238
363,ETH,3,ET030622,populationTotal,8331
364,ETH,3,ET030623,populationTotal,25920
365,ETH,3,ET030694,populationTotal,26491
366,ETH,3,ET030698,populationTotal,11867
367,ETH,3,ET030699,populationTotal,25059
368,ETH,3,ET030701,populationTotal,267058
369,ETH,3,ET030702,populationTotal,181680
370,ETH,3,ET030703,populationTotal,218072
371,ETH,3,ET030704,populationTotal,155813
372,ETH,3,ET030705,populationTotal,197146
373,ETH,3,ET030706,populationTotal,164970
374,ETH,3,ET030707,populationTotal,223891
375,ETH,3,ET030708,populationTotal,174620
376,ETH,3,ET030709,populationTotal,249537
377,ETH,3,ET030710,populationTotal,170621
378,ETH,3,ET030711,populationTotal,143319
379,ETH,3,ET030712,populationTotal,416263
380,ETH,3,ET030713,populationTotal,180332
381,ETH,3,ET030714,populationTotal,37459
382,ETH,3,ET030715,populationTotal,252161
383,ETH,3,ET030716,populationTotal,6117
384,ETH,3,ET030717,populationTotal,17800
385,ETH,3,ET030718,populationTotal,189497
386,ETH,3,ET030719,populationTotal,10302
387,ETH,3,ET030720,populationTotal,11989
388,ETH,3,ET030797,populationTotal,9489
389,ETH,3,ET030798,populationTotal,36369
390,ETH,3,ET030799,populationTotal,15868
391,ETH,3,ET030801,populationTotal,65941
392,ETH,3,ET030802,populationTotal,117340
393,ETH,3,ET030803,populationTotal,149689
394,ETH,3,ET030804,populationTotal,103793
395,ETH,3,ET030805,populationTotal,67599
396,ETH,3,ET030806,populationTotal,35618
397,ETH,3,ET030807,populationTotal,31995
398,ETH,3,ET030808,populationTotal,35611
399,ETH,3,ET030809,populationTotal,5078
400,ETH,3,ET030901,populationTotal,196541
401,ETH,3,ET030902,populationTotal,123990
402,ETH,3,ET030903,populationTotal,136773
403,ETH,3,ET030904,populationTotal,283998
404,ETH,3,ET030905,populationTotal,170033
405,ETH,3,ET030906,populationTotal,116491
406,ETH,3,ET030907,populationTotal,100897
407,ETH,3,ET030908,populationTotal,134808
408,ETH,3,ET030909,populationTotal,15821
409,ETH,3,ET030910,populationTotal,9680
410,ETH,3,ET030911,populationTotal,16855
411,ETH,3,ET030912,populationTotal,3686
412,ETH,3,ET030996,populationTotal,36882
413,ETH,3,ET030997,populationTotal,2616
414,ETH,3,ET030998,populationTotal,32850
415,ETH,3,ET030999,populationTotal,38950
416,ETH,3,ET031001,populationTotal,195416
417,ETH,3,ET031002,populationTotal,134331
418,ETH,3,ET031003,populationTotal,107111
419,ETH,3,ET031004,populationTotal,106114
420,ETH,3,ET031005,populationTotal,59224
421,ETH,3,ET031006,populationTotal,25822
422,ETH,3,ET031007,populationTotal,7979
423,ETH,3,ET031008,populationTotal,181
424,ETH,3,ET031099,populationTotal,23936
425,ETH,3,ET031103,populationTotal,13462
426,ETH,3,ET031104,populationTotal,4507
427,ETH,3,ET031105,populationTotal,15912
428,ETH,3,ET031106,populationTotal,127942
429,ETH,3,ET031107,populationTotal,102698
430,ETH,3,ET031108,populationTotal,239678
431,ETH,3,ET031109,populationTotal,210714
432,ETH,3,ET031110,populationTotal,175520
433,ETH,3,ET031111,populationTotal,145989
434,ETH,3,ET031112,populationTotal,75828
435,ETH,3,ET031115,populationTotal,247464
436,ETH,3,ET031116,populationTotal,154627
437,ETH,3,ET031117,populationTotal,144619
438,ETH,3,ET031118,populationTotal,395580
439,ETH,3,ET031119,populationTotal,58215
440,ETH,3,ET031120,populationTotal,82007
441,ETH,3,ET031121,populationTotal,182317
442,ETH,3,ET031122,populationTotal,230368
443,ETH,3,ET031125,populationTotal,213089
444,ETH,3,ET031199,populationTotal,15531
445,ETH,3,ET031205,populationTotal,89351
446,ETH,3,ET031206,populationTotal,24172
447,ETH,3,ET031213,populationTotal,152984
448,ETH,3,ET031214,populationTotal,134930
449,ETH,3,ET031223,populationTotal,6057
450,ETH,3,ET031224,populationTotal,4179
451,ETH,3,ET031292,populationTotal,15648
452,ETH,3,ET040101,populationTotal,175349
453,ETH,3,ET040102,populationTotal,99559
454,ETH,3,ET040103,populationTotal,107891
455,ETH,3,ET040104,populationTotal,118308
456,ETH,3,ET040105,populationTotal,64525
457,ETH,3,ET040106,populationTotal,66137
458,ETH,3,ET040107,populationTotal,90139
459,ETH,3,ET040108,populationTotal,77048
460,ETH,3,ET040109,populationTotal,182311
461,ETH,3,ET040110,populationTotal,53266
462,ETH,3,ET040111,populationTotal,113266
463,ETH,3,ET040112,populationTotal,52723
464,ETH,3,ET040113,populationTotal,111134
465,ETH,3,ET040114,populationTotal,102502
466,ETH,3,ET040115,populationTotal,141595
467,ETH,3,ET040116,populationTotal,167253
468,ETH,3,ET040117,populationTotal,34722
469,ETH,3,ET040118,populationTotal,85404
470,ETH,3,ET040119,populationTotal,122024
471,ETH,3,ET040193,populationTotal,57044
472,ETH,3,ET040197,populationTotal,57312
473,ETH,3,ET040198,populationTotal,27988
474,ETH,3,ET040199,populationTotal,36047
475,ETH,3,ET040201,populationTotal,123763
476,ETH,3,ET040202,populationTotal,56235
477,ETH,3,ET040203,populationTotal,156594
478,ETH,3,ET040204,populationTotal,87701
479,ETH,3,ET040205,populationTotal,74571
480,ETH,3,ET040206,populationTotal,84680
481,ETH,3,ET040207,populationTotal,72817
482,ETH,3,ET040208,populationTotal,54908
483,ETH,3,ET040209,populationTotal,172294
484,ETH,3,ET040210,populationTotal,92884
485,ETH,3,ET040211,populationTotal,116297
486,ETH,3,ET040212,populationTotal,125053
487,ETH,3,ET040213,populationTotal,161900
488,ETH,3,ET040214,populationTotal,143902
489,ETH,3,ET040215,populationTotal,101632
490,ETH,3,ET040216,populationTotal,87563
491,ETH,3,ET040217,populationTotal,92453
492,ETH,3,ET040297,populationTotal,140324
493,ETH,3,ET040301,populationTotal,257463
494,ETH,3,ET040302,populationTotal,126866
495,ETH,3,ET040309,populationTotal,94375
496,ETH,3,ET040310,populationTotal,101977
497,ETH,3,ET040311,populationTotal,123651
