adminLevel,placeCode,indicator,value,countryCodeISO3
4,UG20320101,cattle,33330,UGA
4,UG20320102,cattle,11425,UGA
4,UG20560102,cattle,11923,UGA
4,UG20340102,cattle,19675,UGA
4,UG20560103,cattle,10955,UGA
4,UG20520102,cattle,8956,UGA
4,UG20610104,cattle,21447,UGA
4,UG20560104,cattle,8573,UGA
4,UG20290105,cattle,12834,UGA
4,UG20540105,cattle,23796,UGA
4,UG20290106,cattle,13899,UGA
4,UG20610105,cattle,19536,UGA
4,UG41210101,cattle,14604,UGA
4,UG41320101,cattle,9497,UGA
4,UG41260103,cattle,16971,UGA
4,UG20610106,cattle,15732,UGA
4,UG20560105,cattle,17819,UGA
4,UG10020102,cattle,8602,UGA
4,UG10110101,cattle,21969,UGA
4,UG10110102,cattle,16793,UGA
4,UG20540106,cattle,16898,UGA
4,UG41030101,cattle,13361,UGA
4,UG20510102,cattle,47273,UGA
4,UG10070101,cattle,48101,UGA
4,UG41330103,cattle,4557,UGA
4,UG20520103,cattle,14513,UGA
4,UG41100101,cattle,9747,UGA
4,UG10090101,cattle,43942,UGA
4,UG20330101,cattle,6985,UGA
4,UG20330102,cattle,7291,UGA
4,UG20610107,cattle,5597,UGA
4,UG20610108,cattle,5377,UGA
4,UG20340103,cattle,0,UGA
4,UG20340104,cattle,5467,UGA
4,UG20390201,cattle,35958,UGA
4,UG20570101,cattle,41890,UGA
4,UG20480101,cattle,15830,UGA
4,UG20340105,cattle,8003,UGA
4,UG20340106,cattle,3796,UGA
4,UG41150301,cattle,17131,UGA
4,UG10180301,cattle,34425,UGA
4,UG20300202,cattle,53648,UGA
4,UG20300203,cattle,29567,UGA
4,UG41020102,cattle,13299,UGA
4,UG41020103,cattle,9168,UGA
4,UG10030102,cattle,18728,UGA
4,UG20510103,cattle,33817,UGA
4,UG20440102,cattle,24719,UGA
4,UG20290107,cattle,23671,UGA
4,UG20340107,cattle,12163,UGA
4,UG20300204,cattle,39048,UGA
4,UG20420103,cattle,21399,UGA
4,UG20350202,cattle,11423,UGA
4,UG20610109,cattle,8307,UGA
4,UG20430103,cattle,32122,UGA
4,UG20290108,cattle,13041,UGA
4,UG20610110,cattle,13400,UGA
4,UG20540107,cattle,14772,UGA
4,UG20340108,cattle,9939,UGA
4,UG20290109,cattle,12018,UGA
4,UG41050202,cattle,9771,UGA
4,UG20560106,cattle,20763,UGA
4,UG20540108,cattle,15517,UGA
4,UG20340109,cattle,6489,UGA
4,UG20560107,cattle,24258,UGA
4,UG20520104,cattle,9298,UGA
4,UG20340110,cattle,7894,UGA
4,UG10260501,cattle,55134,UGA
4,UG41030204,cattle,26344,UGA
4,UG41030205,cattle,5250,UGA
4,UG30740102,cattle,37086,UGA
4,UG20540109,cattle,26947,UGA
4,UG20540110,cattle,23709,UGA
4,UG20610111,cattle,13539,UGA
4,UG20520105,cattle,1975,UGA
4,UG20560108,cattle,7583,UGA
4,UG41160101,cattle,22251,UGA
4,UG41010103,cattle,16514,UGA
4,UG41030102,cattle,7206,UGA
