index,placeCode,value,countryCodeISO3,indicator,adminLevel
332,PH037113000,0.158625731,PHL,vulnerable_group,3
333,PH037114000,0.095113086,PHL,vulnerable_group,3
334,PH037701000,0.114383562,PHL,vulnerable_group,3
335,PH037702000,0.228888107,PHL,vulnerable_group,3
336,PH037703000,0.244818653,PHL,vulnerable_group,3
337,PH037704000,0.243416102,PHL,vulnerable_group,3
338,PH037705000,0.153873116,PHL,vulnerable_group,3
339,PH037706000,0.174259681,PHL,vulnerable_group,3
340,PH037707000,0.173317642,PHL,vulnerable_group,3
341,PH037708000,0.190642111,PHL,vulnerable_group,3
342,PH041001000,0.187419933,PHL,vulnerable_group,3
343,PH041002000,0.187266654,PHL,vulnerable_group,3
344,PH041003000,0.204320564,PHL,vulnerable_group,3
345,PH041004000,0.308951965,PHL,vulnerable_group,3
346,PH041005000,0.085871365,PHL,vulnerable_group,3
347,PH041006000,0.054987402,PHL,vulnerable_group,3
348,PH041007000,0.20370475,PHL,vulnerable_group,3
349,PH041008000,0.225987853,PHL,vulnerable_group,3
350,PH041009000,0.152234637,PHL,vulnerable_group,3
351,PH041010000,0.128696377,PHL,vulnerable_group,3
352,PH041011000,0.252017308,PHL,vulnerable_group,3
353,PH041012000,0.174280621,PHL,vulnerable_group,3
354,PH041013000,0.231230511,PHL,vulnerable_group,3
355,PH041014000,0.110021198,PHL,vulnerable_group,3
356,PH041015000,0.240916713,PHL,vulnerable_group,3
357,PH041016000,0.091319053,PHL,vulnerable_group,3
358,PH041017000,0.106444323,PHL,vulnerable_group,3
359,PH041018000,0.144193297,PHL,vulnerable_group,3
360,PH041019000,0.181812217,PHL,vulnerable_group,3
361,PH041020000,0.122240772,PHL,vulnerable_group,3
362,PH041021000,0.189750106,PHL,vulnerable_group,3
363,PH041022000,0.107222346,PHL,vulnerable_group,3
364,PH041023000,0.225952009,PHL,vulnerable_group,3
365,PH041024000,0.181213633,PHL,vulnerable_group,3
366,PH041025000,0.23138833,PHL,vulnerable_group,3
367,PH041026000,0.037494002,PHL,vulnerable_group,3
368,PH041027000,0.171171171,PHL,vulnerable_group,3
369,PH041028000,0.068403058,PHL,vulnerable_group,3
370,PH041029000,0.179915966,PHL,vulnerable_group,3
371,PH041030000,0.136293237,PHL,vulnerable_group,3
372,PH041031000,0.082135414,PHL,vulnerable_group,3
373,PH041032000,0.16440618,PHL,vulnerable_group,3
374,PH041033000,0.291070548,PHL,vulnerable_group,3
375,PH041034000,0.214470799,PHL,vulnerable_group,3
376,PH042101000,0.107039619,PHL,vulnerable_group,3
377,PH042102000,0.069512613,PHL,vulnerable_group,3
378,PH042103000,0.060854002,PHL,vulnerable_group,3
379,PH042104000,0.048618219,PHL,vulnerable_group,3
380,PH042105000,0.101309384,PHL,vulnerable_group,3
381,PH042106000,0.030496122,PHL,vulnerable_group,3
382,PH042107000,0.122107675,PHL,vulnerable_group,3
383,PH042108000,0.028153403,PHL,vulnerable_group,3
384,PH042109000,0.026996661,PHL,vulnerable_group,3
385,PH042110000,0.067581266,PHL,vulnerable_group,3
386,PH042111000,0.110558688,PHL,vulnerable_group,3
387,PH042112000,0.237305917,PHL,vulnerable_group,3
388,PH042113000,0.170467016,PHL,vulnerable_group,3
389,PH042114000,0.056870011,PHL,vulnerable_group,3
390,PH042115000,0.142318017,PHL,vulnerable_group,3
391,PH042116000,0.045454545,PHL,vulnerable_group,3
392,PH042117000,0.098327111,PHL,vulnerable_group,3
393,PH042118000,0.030354102,PHL,vulnerable_group,3
