id,adminLevel,placeCode,value,countryCodeISO3,indicator
300,3,ET031120,0.1,ETH,Hotspot_Nutrition
301,3,ET031121,0.1,ETH,Hotspot_Nutrition
302,3,ET030614,2,ETH,Hotspot_Nutrition
303,3,ET031125,0.1,ETH,Hotspot_Nutrition
304,3,ET031199,0.1,ETH,Hotspot_Nutrition
305,3,ET031206,0.1,ETH,Hotspot_Nutrition
306,3,ET031213,0.1,ETH,Hotspot_Nutrition
307,3,ET031214,0.1,ETH,Hotspot_Nutrition
308,3,ET031223,0.1,ETH,Hotspot_Nutrition
309,3,ET031224,0.1,ETH,Hotspot_Nutrition
310,3,ET031292,0.1,ETH,Hotspot_Nutrition
311,3,ET040101,3,ETH,Hotspot_Nutrition
312,3,ET040102,3,ETH,Hotspot_Nutrition
313,3,ET040103,3,ETH,Hotspot_Nutrition
314,3,ET040104,3,ETH,Hotspot_Nutrition
315,3,ET040105,3,ETH,Hotspot_Nutrition
316,3,ET040106,3,ETH,Hotspot_Nutrition
317,3,ET040107,0.1,ETH,Hotspot_Nutrition
318,3,ET040108,0.1,ETH,Hotspot_Nutrition
319,3,ET040109,0.1,ETH,Hotspot_Nutrition
320,3,ET040110,0.1,ETH,Hotspot_Nutrition
321,3,ET040111,0.1,ETH,Hotspot_Nutrition
322,3,ET040112,0.1,ETH,Hotspot_Nutrition
323,3,ET040113,0.1,ETH,Hotspot_Nutrition
324,3,ET040114,0.1,ETH,Hotspot_Nutrition
325,3,ET040115,0.1,ETH,Hotspot_Nutrition
326,3,ET040116,0.1,ETH,Hotspot_Nutrition
327,3,ET040117,0.1,ETH,Hotspot_Nutrition
328,3,ET040118,0.1,ETH,Hotspot_Nutrition
329,3,ET040119,0.1,ETH,Hotspot_Nutrition
330,3,ET040193,0.1,ETH,Hotspot_Nutrition
331,3,ET040197,3,ETH,Hotspot_Nutrition
332,3,ET040198,0.1,ETH,Hotspot_Nutrition
333,3,ET040199,0.1,ETH,Hotspot_Nutrition
334,3,ET040201,0.1,ETH,Hotspot_Nutrition
335,3,ET040202,0.1,ETH,Hotspot_Nutrition
336,3,ET040203,3,ETH,Hotspot_Nutrition
337,3,ET040204,3,ETH,Hotspot_Nutrition
338,3,ET040205,0.1,ETH,Hotspot_Nutrition
339,3,ET040206,0.1,ETH,Hotspot_Nutrition
340,3,ET040207,0.1,ETH,Hotspot_Nutrition
341,3,ET040208,0.1,ETH,Hotspot_Nutrition
342,3,ET040209,0.1,ETH,Hotspot_Nutrition
343,3,ET040210,3,ETH,Hotspot_Nutrition
344,3,ET040211,3,ETH,Hotspot_Nutrition
345,3,ET040212,0.1,ETH,Hotspot_Nutrition
346,3,ET040213,3,ETH,Hotspot_Nutrition
347,3,ET040214,0.1,ETH,Hotspot_Nutrition
348,3,ET040215,0.1,ETH,Hotspot_Nutrition
349,3,ET040216,0.1,ETH,Hotspot_Nutrition
350,3,ET040217,0.1,ETH,Hotspot_Nutrition
351,3,ET040297,0.1,ETH,Hotspot_Nutrition
352,3,ET040301,0.1,ETH,Hotspot_Nutrition
353,3,ET040302,0.1,ETH,Hotspot_Nutrition
354,3,ET040309,0.1,ETH,Hotspot_Nutrition
355,3,ET040310,0.1,ETH,Hotspot_Nutrition
356,3,ET040311,0.1,ETH,Hotspot_Nutrition
357,3,ET040312,0.1,ETH,Hotspot_Nutrition
358,3,ET040313,0.1,ETH,Hotspot_Nutrition
359,3,ET040314,0.1,ETH,Hotspot_Nutrition
360,3,ET040315,0.1,ETH,Hotspot_Nutrition
361,3,ET040316,0.1,ETH,Hotspot_Nutrition
362,3,ET040317,0.1,ETH,Hotspot_Nutrition
363,3,ET040319,0.1,ETH,Hotspot_Nutrition
