id,placeCode,value,countryCodeISO3,indicator,adminLevel
523,ET041004,252,ETH,travel_time_cities,3
524,ET041005,98,ETH,travel_time_cities,3
525,ET041006,48,ETH,travel_time_cities,3
526,ET041007,57,ETH,travel_time_cities,3
527,ET041008,39,ETH,travel_time_cities,3
528,ET041009,59,ETH,travel_time_cities,3
529,ET041010,83,ETH,travel_time_cities,3
530,ET041011,59,ETH,travel_time_cities,3
531,ET041012,176,ETH,travel_time_cities,3
532,ET041013,71,ETH,travel_time_cities,3
533,ET041014,168,ETH,travel_time_cities,3
534,ET041015,124,ETH,travel_time_cities,3
535,ET041016,97,ETH,travel_time_cities,3
536,ET041017,209,ETH,travel_time_cities,3
537,ET041018,225,ETH,travel_time_cities,3
538,ET041019,0,ETH,travel_time_cities,3
539,ET041089,46,ETH,travel_time_cities,3
540,ET041097,1,ETH,travel_time_cities,3
541,ET041098,402,ETH,travel_time_cities,3
542,ET041099,10,ETH,travel_time_cities,3
543,ET041104,123,ETH,travel_time_cities,3
544,ET041106,101,ETH,travel_time_cities,3
545,ET041109,39,ETH,travel_time_cities,3
546,ET041110,151,ETH,travel_time_cities,3
547,ET041111,481,ETH,travel_time_cities,3
548,ET041112,367,ETH,travel_time_cities,3
549,ET041113,365,ETH,travel_time_cities,3
550,ET041114,157,ETH,travel_time_cities,3
551,ET041115,499,ETH,travel_time_cities,3
552,ET041116,96,ETH,travel_time_cities,3
553,ET041119,6,ETH,travel_time_cities,3
554,ET041120,18,ETH,travel_time_cities,3
555,ET041122,78,ETH,travel_time_cities,3
556,ET041207,109,ETH,travel_time_cities,3
557,ET041208,243,ETH,travel_time_cities,3
558,ET041210,125,ETH,travel_time_cities,3
559,ET041211,199,ETH,travel_time_cities,3
560,ET041212,376,ETH,travel_time_cities,3
561,ET041216,150,ETH,travel_time_cities,3
562,ET041219,368,ETH,travel_time_cities,3
563,ET041220,184,ETH,travel_time_cities,3
564,ET041223,109,ETH,travel_time_cities,3
565,ET041290,89,ETH,travel_time_cities,3
566,ET041291,159,ETH,travel_time_cities,3
567,ET041295,198,ETH,travel_time_cities,3
568,ET041296,44,ETH,travel_time_cities,3
569,ET041298,255,ETH,travel_time_cities,3
570,ET041301,109,ETH,travel_time_cities,3
571,ET041302,67,ETH,travel_time_cities,3
572,ET041303,65,ETH,travel_time_cities,3
573,ET041304,65,ETH,travel_time_cities,3
574,ET041305,41,ETH,travel_time_cities,3
575,ET041307,44,ETH,travel_time_cities,3
576,ET041308,80,ETH,travel_time_cities,3
577,ET041309,72,ETH,travel_time_cities,3
578,ET041310,47,ETH,travel_time_cities,3
579,ET041311,0,ETH,travel_time_cities,3
580,ET041312,64,ETH,travel_time_cities,3
581,ET041314,44,ETH,travel_time_cities,3
582,ET041401,130,ETH,travel_time_cities,3
583,ET041402,86,ETH,travel_time_cities,3
584,ET041403,139,ETH,travel_time_cities,3
585,ET041404,149,ETH,travel_time_cities,3
586,ET041405,102,ETH,travel_time_cities,3
587,ET041407,123,ETH,travel_time_cities,3
588,ET041408,61,ETH,travel_time_cities,3
589,ET041409,186,ETH,travel_time_cities,3
590,ET041410,315,ETH,travel_time_cities,3
591,ET041411,179,ETH,travel_time_cities,3
592,ET041412,287,ETH,travel_time_cities,3
593,ET041413,141,ETH,travel_time_cities,3
594,ET041414,1,ETH,travel_time_cities,3
595,ET041482,150,ETH,travel_time_cities,3
596,ET041490,136,ETH,travel_time_cities,3
597,ET041492,10,ETH,travel_time_cities,3
598,ET041497,174,ETH,travel_time_cities,3
599,ET041499,13,ETH,travel_time_cities,3
600,ET041501,96,ETH,travel_time_cities,3
601,ET041502,209,ETH,travel_time_cities,3
602,ET041509,109,ETH,travel_time_cities,3
