PCODE_Mun_City,percentage_vul_housing
PH050507000,0.37110665
PH050509000,0.168592372
PH050510000,0.238364328
PH050511000,0.293093212
PH050512000,0.355008913
PH050513000,0.458606818
PH050514000,0.240439876
PH050515000,0.45529555
PH050516000,0.186724231
PH050518000,0.211999635
PH051601000,0.294195688
PH051602000,0.518989129
PH051603000,0.118696971
PH051605000,0.282740547
PH051606000,0.304489353
PH051607000,0.359369236
PH051608000,0.307309986
PH051604000,0.316206787
PH051609000,0.266304348
PH051610000,0.308219936
PH051611000,0.207605877
PH051612000,0.366375727
PH051701000,0.223474509
PH051702000,0.423424991
PH051703000,0.409667113
PH051704000,0.294860499
PH051705000,0.314102168
PH051706000,0.410537298
PH051707000,0.332561133
PH051708000,0.356550385
PH051709000,0.123912582
PH051710000,0.289250252
PH051711000,0.465971238
PH051712000,0.25966744
PH051713000,0.194301728
PH051714000,0.603345281
PH051715000,0.325317249
PH051716000,0.188401109
PH051717000,0.363408297
PH051718000,0.383478148
PH051719000,0.277426766
PH051720000,0.297699849
PH051721000,0.221822346
PH051722000,0.388959702
PH051723000,0.251053178
PH051724000,0.100353013
PH051725000,0.340439417
PH051726000,0.281413087
PH051727000,0.405311542
PH051728000,0.253770528
PH051729000,0.382352941
PH051730000,0.343861643
PH051731000,0.37902873
PH051732000,0.290066778
PH051733000,0.303009097
PH051734000,0.266169896
PH051735000,0.575797872
PH051736000,0.342456078
PH051737000,0.519812816
PH052001000,0.421096693
PH052002000,0.321505376
PH052003000,0.201701366
PH052004000,0.339667865
PH052005000,0.279792746
PH052006000,0.359923114
PH052007000,0.315604616
PH052008000,0.22493759
PH052009000,0.16918429
PH052010000,0.413616228
PH052011000,0.146003098
PH054101000,0.373649726
PH054102000,0.465627348
PH054103000,0.382409423
PH054104000,0.634965035
PH054105000,0.263397948
PH054106000,0.320040282
PH054111000,0.148504386
PH054107000,0.57128702
PH054108000,0.487809417
PH054109000,0.272431553
PH054110000,0.355481345
PH054112000,0.375208352
PH054113000,0.387577801
PH054114000,0.65815062
PH054115000,0.407038627
PH054116000,0.223986628
PH054117000,0.337118345
PH054118000,0.607897664
PH054119000,0.570072269
PH054120000,0.553043478
PH054121000,0.436871408
PH056202000,0.235564854
PH056203000,0.389072526
PH056204000,0.258816837
PH056205000,0.153442158
PH056206000,0.422643359
PH056216000,0.168634306
PH056207000,0.542773438
PH056208000,0.249309547
PH056209000,0.263765307
PH056210000,0.302742616
PH056211000,0.457931404
PH056212000,0.483519118
PH056213000,0.485275288
PH056214000,0.257130872
PH056215000,0.399775722
PH060401000,0.220518868
PH060402000,0.335200345
PH060403000,0.181581798
PH060404000,0.279040404
PH060405000,0.199524941
PH060406000,0.170655663
PH060407000,0.192610948
PH060408000,0.26643698
PH060409000,0.46496328
PH060410000,0.297967864
PH060411000,0.326386761
PH060412000,0.326864959
PH060413000,0.275134234
PH060414000,0.238966355
PH060415000,0.228677151
PH060416000,0.182425979
PH060417000,0.277314344
PH060601000,0.286334056
PH060602000,0.115952733
PH060603000,0.139519579
PH060604000,0.117056396
PH060605000,0.257171743
PH060606000,0.166507279
PH060608000,0.25221024
PH060609000,0.081656805
PH060610000,0.331129477
PH060611000,0.169889682
PH060612000,0.224876442
PH060613000,0.221989842
PH060614000,0.079646018
PH060615000,0.105514984
PH060616000,0.064270484
PH060617000,0.133397777
PH060607000,0.222108645
PH060618000,0.090291262
PH061901000,0.043945769
PH061902000,0.0330428
PH061903000,0.007579008
PH061904000,0.041670474
PH061905000,0.093926016
PH061906000,0.250942063
PH061907000,0.034512793
PH061908000,0.051883366
PH061909000,0.084896983
PH061910000,0.067135215
PH061911000,0.185129553
PH061912000,0.125982119
PH061913000,0.080974035
PH061914000,0.079497795
PH061915000,0.178876478
