index,placeCode,value,countryCodeISO3,adminLevel,indicator
457,PH023129000,5545,PHL,3,total_houses
458,PH023130000,7534,PHL,3,total_houses
459,PH023131000,11849,PHL,3,total_houses
460,PH023132000,15353,PHL,3,total_houses
461,PH023133000,5072,PHL,3,total_houses
462,PH023134000,4844,PHL,3,total_houses
463,PH023136000,4903,PHL,3,total_houses
464,PH023137000,14862,PHL,3,total_houses
465,PH025015000,1783,PHL,3,total_houses
466,PH025001000,3535,PHL,3,total_houses
467,PH025002000,8501,PHL,3,total_houses
468,PH025003000,8771,PHL,3,total_houses
469,PH025004000,13272,PHL,3,total_houses
470,PH025005000,15194,PHL,3,total_houses
471,PH025006000,4403,PHL,3,total_houses
472,PH025007000,6597,PHL,3,total_houses
473,PH025008000,4528,PHL,3,total_houses
474,PH025009000,8415,PHL,3,total_houses
475,PH025010000,5516,PHL,3,total_houses
476,PH025011000,4917,PHL,3,total_houses
477,PH025012000,3721,PHL,3,total_houses
478,PH025013000,15236,PHL,3,total_houses
479,PH025014000,4439,PHL,3,total_houses
480,PH025701000,6540,PHL,3,total_houses
481,PH025702000,6822,PHL,3,total_houses
482,PH025703000,12087,PHL,3,total_houses
483,PH025704000,8842,PHL,3,total_houses
484,PH025706000,4891,PHL,3,total_houses
485,PH025705000,3979,PHL,3,total_houses
486,PH037701000,8760,PHL,3,total_houses
487,PH037702000,5684,PHL,3,total_houses
488,PH037703000,3860,PHL,3,total_houses
489,PH037704000,2658,PHL,3,total_houses
490,PH037705000,5706,PHL,3,total_houses
491,PH037706000,7024,PHL,3,total_houses
492,PH037707000,9347,PHL,3,total_houses
493,PH037708000,6027,PHL,3,total_houses
494,PH030801000,9256,PHL,3,total_houses
495,PH030802000,6008,PHL,3,total_houses
496,PH030803000,20832,PHL,3,total_houses
497,PH030804000,23405,PHL,3,total_houses
498,PH030805000,14212,PHL,3,total_houses
499,PH030806000,15036,PHL,3,total_houses
500,PH030807000,30691,PHL,3,total_houses
501,PH030808000,6828,PHL,3,total_houses
502,PH030809000,15288,PHL,3,total_houses
503,PH030810000,11740,PHL,3,total_houses
504,PH030811000,9251,PHL,3,total_houses
505,PH030812000,7605,PHL,3,total_houses
506,PH031401000,14325,PHL,3,total_houses
507,PH031402000,17046,PHL,3,total_houses
508,PH031403000,35488,PHL,3,total_houses
