"pcode","date","dmp"
"KE020",2012-03-20,64.9263157894737
"KE045",2012-03-20,59.8375
"KE042",2012-03-20,32.984126984127
"KE015",2012-03-20,14.4958762886598
"KE002",2012-03-20,18.4230769230769
"KE031",2012-03-20,29.714983713355
"KE016",2012-03-20,19.7642487046632
"KE017",2012-03-20,22.1915708812261
"KE009",2012-03-20,8.40481927710843
"KE025",2012-03-20,18.695652173913
"KE010",2012-03-20,5.46588650916317
"KE012",2012-03-20,42.4586129753915
"KE044",2012-03-20,42.8698224852071
"KE021",2012-03-20,65.6134969325153
"KE047",2012-03-20,19.6046511627907
"KE032",2012-03-20,36.9867256637168
"KE029",2012-03-20,60.1483516483516
"KE046",2012-03-20,69.1206896551724
"KE018",2012-03-20,47.3463414634146
"KE041",2012-03-20,36.9125
"KE006",2012-03-20,17.5723443223443
"KE004",2012-03-20,6.83822937625755
"KE013",2012-03-20,38.8909090909091
"KE026",2012-03-20,38.5032258064516
"KE023",2012-03-20,4.78754067875407
"KE027",2012-03-20,37.8863636363636
"KE038",2012-03-20,47.8157894736842
"KE008",2012-03-20,5.75870646766169
"KE024",2012-03-20,24.2610921501706
"KE033",2012-03-20,53.2574430823117
"KE001",2012-03-20,12.9
"KE005",2012-03-20,27.096256684492
"KE030",2012-03-31,23.0948905109489
"KE036",2012-03-31,79.6184210526316
"KE039",2012-03-31,35.031914893617
"KE040",2012-03-31,29.7289719626168
"KE028",2012-03-31,52.9692307692308
"KE014",2012-03-31,31.5639534883721
"KE007",2012-03-31,8.1525974025974
"KE043",2012-03-31,34.8643216080402
"KE019",2012-03-31,56.5865384615385
"KE011",2012-03-31,6.86629698089957
"KE034",2012-03-31,16.8813314037627
"KE037",2012-03-31,38.2910052910053
"KE035",2012-03-31,56.1558441558442
"KE022",2012-03-31,51.5723270440252
"KE003",2012-03-31,17.5051020408163
"KE020",2012-03-31,58.1914893617021
"KE045",2012-03-31,62.0875
"KE042",2012-03-31,33.2539682539683
"KE015",2012-03-31,14.5067010309278
"KE002",2012-03-31,21.4134615384615
"KE031",2012-03-31,24.200325732899
"KE016",2012-03-31,18.3834196891192
"KE017",2012-03-31,22.8754789272031
"KE009",2012-03-31,7.10421686746988
"KE025",2012-03-31,16.8343328335832
"KE010",2012-03-31,5.59125055236412
"KE012",2012-03-31,37.3736017897092
"KE044",2012-03-31,42.2721893491124
"KE021",2012-03-31,58.6871165644172
"KE047",2012-03-31,19.2325581395349
"KE032",2012-03-31,30.2323008849558
"KE029",2012-03-31,53.7431693989071
"KE046",2012-03-31,68.448275862069
"KE018",2012-03-31,38.2975609756098
"KE041",2012-03-31,36.24375
"KE006",2012-03-31,17.764652014652
"KE004",2012-03-31,6.88329979879276
"KE013",2012-03-31,34.1890243902439
"KE026",2012-03-31,32.0967741935484
"KE023",2012-03-31,4.73895862389586
"KE027",2012-03-31,30.7090909090909
"KE038",2012-03-31,47.9736842105263
"KE008",2012-03-31,5.32338308457711
"KE024",2012-03-31,21.8483816013629
"KE033",2012-03-31,46.9912510936133
"KE001",2012-03-31,13.4
"KE005",2012-03-31,26.2941176470588
"KE030",2012-04-10,22.7737226277372
"KE036",2012-04-10,74.5592105263158
"KE039",2012-04-10,37.9148936170213
"KE040",2012-04-10,41.588785046729
"KE028",2012-04-10,48.2615384615385
"KE014",2012-04-10,34.0058139534884
"KE007",2012-04-10,7.9033189033189
"KE043",2012-04-10,43.1457286432161
"KE019",2012-04-10,44.1449275362319
"KE011",2012-04-10,7.40357362908195
"KE034",2012-04-10,20.3646888567294
"KE037",2012-04-10,45.5185185185185
"KE035",2012-04-10,55.7402597402597
"KE022",2012-04-10,43.8490566037736
"KE003",2012-04-10,18.8063694267516
"KE020",2012-04-10,49.4193548387097
"KE045",2012-04-10,67.1625
"KE042",2012-04-10,42.7301587301587
"KE015",2012-04-10,16.9912371134021
"KE002",2012-04-10,23.6903846153846
"KE031",2012-04-10,20.3013029315961
"KE016",2012-04-10,21.5492227979275
"KE017",2012-04-10,26.4942528735632
"KE009",2012-04-10,8.9289156626506
"KE025",2012-04-10,16.7766116941529
"KE010",2012-04-10,7.5407374696401
"KE012",2012-04-10,34.0178970917226
"KE044",2012-04-10,49.2011834319527
"KE021",2012-04-10,49.8957055214724
"KE047",2012-04-10,18.3720930232558
"KE032",2012-04-10,28.1814159292035
"KE029",2012-04-10,55.9562841530055
"KE046",2012-04-10,70.2413793103448
"KE018",2012-04-10,32.1170731707317
"KE041",2012-04-10,47.2625
"KE006",2012-04-10,18.8489010989011
"KE004",2012-04-10,7.11146881287726
"KE013",2012-04-10,33.0365853658537
"KE026",2012-04-10,28.6129032258065
"KE023",2012-04-10,5.70188065939169
"KE027",2012-04-10,26.9136363636364
"KE038",2012-04-10,60.7631578947368
"KE008",2012-04-10,6.18435599778883
"KE024",2012-04-10,20.3594548551959
"KE033",2012-04-10,44.6850393700787
