name,description,type,depth,vulnerability,fid,lat,lon
MacNon Nyasulu Well ,Near Luziwa stream ,Protected dug well,0,no risk,29374,-11.5141499,33.7353592
Kakunde tap,Near chiwono stream,Piped into public tap / standpipe / basin,0,no risk,29375,-10.3748658,33.6838053
Group Village Headman Chibavi Muyaba borehole ,Near Kamembe stream ,Borehole or tubewell,0,no risk,29376,-11.6033479,33.7040875
Fulama munthali borehole ,Near lumemo school ,Borehole or tubewell,0,no risk,29377,-11.0367073,33.8312951
Grandad borehole ,Near lumemo school ,Borehole or tubewell,0,no risk,29378,-11.0367155,33.8217411
Chasowa borehole ,Near a mpapa tree,Borehole or tubewell,0,no risk,29379,-11.0316981,33.8177863
Harriet Qaba water point ,Near mango and mnyozi trees,Piped into yard/plot,0,no risk,29380,-11.1853744,33.8887576
Vongo Banear borehole ,Near a bluegrass tree,Borehole or tubewell,0,no risk,29381,-11.0387094,33.8029857
Richard Sikanda borehole,Near mjabula tree,Borehole or tubewell,0,no risk,29383,-9.9057857,33.9063935
Gilbert Mwanegha dugwell,Opposite thorn tree ,Protected dug well,0,no risk,29384,-9.9068970,33.9036912
Magwaza Nyirongo water point ,Near sendelera tree ,Borehole or tubewell,0,no risk,29385,-11.1780396,33.8808528
Zawanje Village well ,Near Kathali stream ,Protected dug well,0,no risk,29388,-11.5240309,33.7306204
Solomone  wankhama water point ,Near sendelera  & mango trees,Piped into public tap / standpipe / basin,0,no risk,29389,-11.1763672,33.8785697
Lenard Mwenenjawa protected dug well,Near mango tree,Protected dug well,0,no risk,29391,-9.9064825,33.8894457
,,Borehole or tubewell,0.50048828125,high risk,29392,-9.9480757,33.7987504
,,Borehole or tubewell,0,no risk,29393,-9.9704773,33.8463526
Zgala Soko water point,Near mchemani tree and banana suckers ,Piped into yard/plot,0,no risk,29394,-11.1757081,33.8787231
Matemanga Vinkhumbu water point ,Near msangusangu tree,Borehole or tubewell,0,no risk,29395,-11.1751028,33.8793196
Zawanje Village borehole ,Near Mayowera Hill ,Borehole or tubewell,0,no risk,29396,-11.5258352,33.7272417
Yiwele Mkandawire borehole ,Near mango trees ,Borehole or tubewell,0,no risk,29397,-11.1008213,33.7560860
Bwana Mpeta protected dug well,Nesr gwava trees ,Protected dug well,0,no risk,29398,-9.9186177,33.8780108
,,Borehole or tubewell,0,no risk,29399,-11.3163637,33.5605196
Society For the Advancement of People water point,Near bluegum trees,Piped into yard/plot,0,no risk,29402,-11.1741052,33.8812173
,,Borehole or tubewell,0,no risk,29405,-9.9486650,33.9407819
,,Borehole or tubewell,0,no risk,29406,-9.9564762,33.8750517
Kenneth Khonje water point ,Near guava tree,Piped into yard/plot,0,no risk,29407,-11.1706959,33.8814058
Ng'ona  Ngwenya water point,Near mango tree,Piped into yard/plot,0,no risk,29409,-11.1705443,33.8806310
Chamumono,,Piped into public tap / standpipe / basin,0,no risk,29410,-10.7659753,34.0336110
Luhera Nyirenda Well 1 ,Near Chipando stream ,Protected dug well,0,no risk,29411,-11.4754986,33.7432779
Charles Owen Nyirenda Well ,Near Chipando stream ,Protected dug well,0,no risk,29412,-11.4755452,33.7441136
Nkhondopera Nyirenda Well 1 ,Near Chipando stream ,Protected dug well,0,no risk,29414,-11.4761002,33.7440076
Luhera Nyirenda Well 3 ,Near Chipando stream ,Protected dug well,0,no risk,29415,-11.4824740,33.7417572
Mhalizi chipofya unprotected dug wel,Along katowa stream ,Unprotected dug well,0,no risk,29416,-11.1137885,33.7635493
Chipotle pole Mkandawire protected dug well,Near mango trees ,Protected dug well,0,no risk,29417,-11.1093186,33.7597158
Bright Mwambira Tap ,Near Bluegum Trees ,Piped into public tap / standpipe / basin,0,no risk,29418,-11.0197911,33.8426608
Muyuzga Zimba protected dug well,Near mango trees ,Protected dug well,0,no risk,29419,-11.1043952,33.7566594
Daniel Nyasulu water point,Near bluegum trees,Piped into yard/plot,0,no risk,29421,-11.1703348,33.8813164
Katowa full primary school borehole 2,Near mango trees ,Borehole or tubewell,0,no risk,29424,-11.1032891,33.7555365
Zekelia mnyenyembe community swallow well ,Near munewa river ,Protected dug well,0,no risk,29425,-11.7285316,33.7393628
Kamdupule mnyenyembe community swallow well ,Near chagomera river ,Protected dug well,0,no risk,29426,-11.7340940,33.7441232
Katowa full primary school borehole ,Near mango trees ,Borehole or tubewell,0,no risk,29427,-11.1043376,33.7555183
Pickford mtika borehole,Near Mizwa mining site,Borehole or tubewell,0,no risk,29428,-12.0422620,33.4865088
Chigoti  borehole ,Near  road from chipazi school to hoho school ,Borehole or tubewell,0,no risk,29429,-12.2814564,33.6831622
Happy kumwenda tap ,Near kesha tree ,Piped into yard/plot,0,no risk,29430,-11.0148852,33.8449200
Kajawa Nyasulu water point,Near mango and mnyozi trees,Piped into public tap / standpipe / basin,0,no risk,29432,-11.1695390,33.8815702
Kapiri borehole,Kapiri mining site,Borehole or tubewell,0,no risk,29434,-12.0321764,33.4869968
Mangondweni borohole,Near mango treee,Borehole or tubewell,0,no risk,29436,-12.0359235,33.4909699
Mwandiza Mkhalipa borehole,Near kanthimbu stream,Borehole or tubewell,0,no risk,29442,-12.2018191,33.5235539
Tap one,Near kapiri ofice,Piped into public tap / standpipe / basin,0,no risk,29443,-12.0310600,33.4873391
Chiwondwe Primary school borehole,Near kesha tree,Borehole or tubewell,0,no risk,29444,-12.1901660,33.5119397
Chabayiwa Village borehole ,Near Luziwa stream ,Borehole or tubewell,0,no risk,29445,-11.4965117,33.7392086
Yunga village borehole,Near main road to mzuzu,Borehole or tubewell,0,no risk,29446,-11.1089835,33.8887574
Chibiya Nyasulu,Near Mango Tree,Borehole or tubewell,0,no risk,29448,-12.1872961,33.5090728
Uledi game Reserve comp ,At game Reserve comp ,Borehole or tubewell,0,no risk,29450,-10.1685362,33.7518567
Uledi shallow well ,Along chamavi dumbo land ,Unprotected dug well,0,no risk,29451,-10.1622236,33.7455554
Uledi primary school borehole ,At Uledi primary school ,Borehole or tubewell,0,no risk,29452,-10.1671081,33.7480046
Tumbo village surface water ,Near mngwina tree ,Surface water,0,no risk,29453,-10.1149474,33.6911041
Thumbo village surface water,Chipakala stream ,Surface water,0,no risk,29454,-10.1138742,33.6839575
Cowie Moses Katete water point,Near paw paw  and lemon tree,Piped into yard/plot,0,no risk,29455,-11.1672678,33.8826524
Lameck Soko Village borehole ,Near Kasamankholi stream ,Borehole or tubewell,0,no risk,29456,-11.5458838,33.7182621
Phillimon Soko Village borehole ,Near Chikota Nursery School ,Borehole or tubewell,0,no risk,29457,-11.5427431,33.7098069
Masato JP School borehole ,Near Kaulasisi Hill ,Borehole or tubewell,0,no risk,29458,-11.4864245,33.7327903
Milingo Jere borehole. ,South East of mkama cbcc 70m near Milingo Jere borehole. ,Borehole or tubewell,0,no risk,29461,-12.2188757,33.3390666
,,Borehole or tubewell,0,no risk,29462,-11.6054812,33.3604900
David Jere Village borehole 1 ,Near Chipando stream ,Borehole or tubewell,0,no risk,29466,-11.4752204,33.7352601
David Jere Village borehole 2 ,Near Kasito river ,Borehole or tubewell,0,no risk,29469,-11.4645570,33.7379166
,,Borehole or tubewell,0,no risk,29474,-12.1393330,33.4753410
,,Borehole or tubewell,0,no risk,29485,-11.2670429,33.5783443
,,Borehole or tubewell,0,no risk,29486,-11.6928449,33.3784587
Bwana longwe tap,Near road to mzuzu,Piped into public tap / standpipe / basin,0,no risk,29489,-11.0215591,33.8601756
Chilale tap,Near bondi road,Piped into public tap / standpipe / basin,0,no risk,29491,-11.0135168,33.8511006
,,Borehole or tubewell,0,no risk,29492,-9.8694547,33.8553683
Thimalala CDS School borehole ,Near Yobe Sambo village ,Borehole or tubewell,0,no risk,29493,-11.2694350,33.8562436
,,Borehole or tubewell,0,no risk,29494,-11.3241096,33.4521561
Muthako Gondwe borehole ,Near muthako Gondwe borehole ,Borehole or tubewell,0,no risk,29495,-11.2676300,33.8470967
Thomas Lungu borehole ,Near Thomas Lungu village ,Borehole or tubewell,0,no risk,29496,-11.2742686,33.8419264
Thomson Tembo borehole ,Near Thomson Tembo village ,Borehole or tubewell,0,no risk,29497,-11.2807041,33.8430888
Yobe Sambo borehole 2,Near Yobe Sambo village ,Borehole or tubewell,0.2279052734375,intermediate risk,29500,-11.2549052,33.8617130
Dambo surface water point ,Along Lukulu river ,Surface water,3.0660400390625,high risk,29502,-10.2199881,33.7404209
Chandiwira Mkandawire borehole ,Near Mkwelambulu trees ,Borehole or tubewell,0,no risk,29504,-11.1032971,33.7495959
