country_code,fid,name,education_level,school_year,source,school_id,amenity,lat,lon,depth,vulnerability
ETH,409,Enat Medical College,,,,,,9.058,38.718,0,no risk
ETH,410,,,,,,,9.002,38.801,0,no risk
ETH,411,,,,,,,9.0,38.804,0,no risk
ETH,412,,,,,,,9.003,38.806,0,no risk
ETH,413,,,,,,,8.997,38.81,0,no risk
ETH,414,,,,,,,6.536,38.709,0,no risk
ETH,415,Tigel fre elemantary school,,,,,,7.53,39.258,0,no risk
ETH,416,Genis land College,,,,,,8.548,39.255,0,no risk
ETH,417,Adama No. 3 School,,,,,,8.547,39.259,0,no risk
ETH,418,Goro Secondary School,,,,,,8.557,39.262,0,no risk
ETH,419,,,,,,,8.558,39.282,0,no risk
ETH,420,,,,,,,8.555,39.284,0,no risk
ETH,421,Adama No.4 School,,,,,,8.54,39.279,0,no risk
ETH,422,,,,,,,8.548,39.281,0,no risk
ETH,423,Adama No.2 School,,,,,,8.555,39.274,0,no risk
ETH,424,Ethio National School,,,,,,8.893,38.773,0,no risk
ETH,425,,,,,,,8.994,38.727,0,no risk
ETH,426,,,,,,,9.014,38.718,0,no risk
ETH,427,Gibson Youth Academy,,,,,,8.989,38.785,0,no risk
ETH,428,Southwest Academy lafto-58 Branch,,,,,,8.945,38.751,0,no risk
ETH,429,Unity Academy,,,,,,9.004,38.806,0,no risk
ETH,430,,,,,,,8.995,38.793,0,no risk
ETH,431,,,,,,,8.54,39.218,0,no risk
ETH,432,Rift Valley University,,,,,,8.909,38.766,0,no risk
ETH,433,Red Cross Society Traning Center,,,,,,8.958,38.76,0,no risk
ETH,434,Abadir School,,,,,,8.986,38.739,0,no risk
ETH,435,Gybson youth academy,,,,,,8.973,38.728,0,no risk
ETH,436,Netsanet Chora,,,,,,8.979,38.75,0,no risk
ETH,437,Queens College,,,,,,8.946,38.735,0,no risk
ETH,438,SouthWest Academy,,,,,,8.951,38.74,0,no risk
ETH,439,Addis ababa unversity veternery campus,,,,,,8.761,39.0,0,no risk
ETH,440,,,,,,,8.991,38.74,0,no risk
ETH,441,Don Bosco Catholic School,,,,,,8.973,38.723,0,no risk
ETH,442,Hawas Preparatory School,,,,,,8.499,39.287,0,no risk
ETH,443,Hawas Preparatory School,,,,,,8.499,39.286,0,no risk
ETH,444,Gibson Youth Academy,,,,,,8.973,38.728,0,no risk
ETH,445,Bizrate Gebriel Gofa,,,,,,8.969,38.75,0,no risk
ETH,446,,,,,,,8.97,38.732,0,no risk
ETH,447,Southwest Academy,,,,,,8.947,38.743,0,no risk
ETH,448,,,,,,,8.943,38.749,0,no risk
ETH,449,Gibson Youth Academy,,,,,,8.944,38.749,0,no risk
ETH,450,,,,,,,8.195,34.265,0,no risk
ETH,451,Metu university,,,,,,8.309,35.568,0,no risk
ETH,452,,,,,,,8.765,39.0,0,no risk
ETH,453,Dandii Boru school,,,,,,8.993,38.772,0,no risk
ETH,454,School Of Tomorrow Cmc Branch,,,,,,9.021,38.857,0,no risk
ETH,455,Safari Academy,,,,,,9.022,38.85,0,no risk
ETH,456,Diamond Academy,,,,,,9.024,38.848,0,no risk
