country_code,fid,name,lat,lon,education_level,school_year,source,vulnerability,depth,school_id,amenity
MWI,504771,Mfulu Sch,-10.8153203696,34.2017542488,Primary,,government,no risk,0,,
MWI,500334,Chilinda Sch,-10.5843866562,33.8063335206,Primary,,government,no risk,0,,
MWI,501106,Kasasa Sch,-10.8756253733,33.6170266352,Primary,,government,no risk,0,,
MWI,502744,Thazima Sch,-10.8384419496,33.5916423736,Primary,,government,no risk,0,,
MWI,503833,Kapiri Sch,-10.8545685771,33.5628795811,Primary,,government,no risk,0,,
MWI,504772,Bawa Sch,-10.8663122353,33.5849515337,Primary,,government,no risk,0,,
MWI,505948,Fyolonga Sch,-10.8880017549,33.6293117099,Primary,,government,no risk,0,,
MWI,506339,Mphola Sch,-10.8660569554,33.5447878456,Primary,,government,no risk,0,,
MWI,506686,Kapirinjowela Sch,-10.846100431,33.6000079271,Primary,,government,no risk,0,,
MWI,507233,Kapatamoyo Sch,-10.8799525389,33.58456067,Primary,,government,no risk,0,,
MWI,502815,Usowoya Sch,-10.9692995451,34.0984180981,Primary,,government,no risk,0,,
MWI,503827,Ntchuka Sch,-10.9555264608,34.0809506775,Primary,,government,no risk,0,,
MWI,503829,MawingomaraSch,-10.8961229942,34.1401801865,Primary,,government,no risk,0,,
MWI,503843,Katunga Sch,-10.9270388557,34.0778470929,Primary,,government,no risk,0,,
MWI,505427,Khanga Sch,-11.0184748443,34.1301721227,Primary,,government,no risk,0,,
MWI,505428,Uzumala Sch,-10.9040128621,34.105497424,Primary,,government,no risk,0,,
MWI,505716,Chimulu Sch,-10.9306594455,34.1145290404,Primary,,government,no risk,0,,
MWI,600020,Nthalire CDSS,-10.347128,33.633958,Secondary,,government,no risk,0,,
MWI,600022,Mibanga CDSS,-10.145777,33.710851,Secondary,,government,no risk,0,,
MWI,600023,Therere CDSS,-10.408162,33.671159,Secondary,,government,no risk,0,,
MWI,600024,Kapirinkhonde CDSS,-10.263309,33.575158,Secondary,,government,no risk,0,,
MWI,600029,Karonga CDSS,-9.935237,33.91654,Secondary,,government,high risk,0.574951171875,,
MWI,600030,Karonga Girls,-9.937538,33.91658,Secondary,,government,no risk,0,,
MWI,600031,Chaminade,-9.951284,33.88652,Secondary,,government,no risk,0,,
MWI,600032,Lupembe,-10.074352,33.972935,Secondary,,government,no risk,0,,
MWI,600033,Mpata,-9.964337,33.814891,Secondary,,government,no risk,0,,
MWI,600038,Mayibiyibi,-9.89665,33.887717,Secondary,,government,no risk,0,,
MWI,600040,Maghemo,-9.953429,33.904899,Secondary,,government,no risk,0,,
MWI,600051,Mlare,-10.177154,34.029169,Secondary,,government,no risk,0,,
MWI,601434,Kayuni CDSS,-9.968264,33.688888,Secondary,,government,no risk,0,,
MWI,601563,Karonga TTC Foundation,-9.970214,33.898805,Secondary,,government,no risk,0,,
MWI,606024,ST Monica CDSS,-9.886029,33.621514,Secondary,,government,no risk,0,,
MWI,600105,Bwengu CDSS,-11.064966,33.929265,Secondary,,government,no risk,0,,
MWI,600106,Luzi CDSS,-10.991877,33.966857,Secondary,,government,no risk,0,,
MWI,602019,Emike Pvt,-10.991515,33.955234,Secondary,,government,no risk,0,,
MWI,600059,Rumphi Secondary School,-11.018454,33.857397,Secondary,,government,no risk,0,,
MWI,600060,Lundu CDSS,-10.913656,33.734677,Secondary,,government,no risk,0,,
MWI,600061,Bolero Secondary School,-10.970865,33.740363,Secondary,,government,no risk,0,,
