CODE,name,COMMON NAME,OWNERSHIP,type,STATUS,lat,lon,depth,vulnerability,fid
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,6.87,37.759,0,no risk,127
"CODE0RangeIndex(start=1, stop=785, step=1)",ባምሊ,ባምሊ,,,,8.998,38.68,0,no risk,128
"CODE0RangeIndex(start=1, stop=785, step=1)",ጀሞ,ጀሞ,,,,8.998,38.68,0,no risk,129
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,clinic,,7.19,38.601,0,no risk,130
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,clinic,,9.011,38.788,0,no risk,131
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,dentist,,9.028,38.79,0,no risk,132
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,11.599,37.414,0,no risk,133
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,hospital,,12.61,37.454,0,no risk,134
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,8.961,38.715,0,no risk,135
"CODE0RangeIndex(start=1, stop=785, step=1)",Rose Pharmacy,Rose Pharmacy,,pharmacy,,9.016,38.756,0,no risk,136
"CODE0RangeIndex(start=1, stop=785, step=1)",ቆቦ ሆስፒታል,ቆቦ ሆስፒታል,,,,12.163,39.65,0,no risk,137
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.001,38.781,0,no risk,138
"CODE0RangeIndex(start=1, stop=785, step=1)",አንዱ ፋርማሲ,አንዱ ፋርማሲ,,,,8.552,39.278,0,no risk,139
"CODE0RangeIndex(start=1, stop=785, step=1)",Pommy Children Clinic | Summit | ፖሚ የህጻናት ክሊኒክ | ሰሚት,Pommy Children Clinic | Summit | ፖሚ የህጻናት ክሊኒክ | ሰሚት,,,,9.01,38.851,0,no risk,140
"CODE0RangeIndex(start=1, stop=785, step=1)",ያኔት ልዩ ከፍተኛ ክሊኒክ,ያኔት ልዩ ከፍተኛ ክሊኒክ,,,,7.024,38.468,0,no risk,141
"CODE0RangeIndex(start=1, stop=785, step=1)",Yetnebersh  የትነበርሽ,Yetnebersh  የትነበርሽ,,,,8.937,38.728,0,no risk,142
"CODE0RangeIndex(start=1, stop=785, step=1)",የኢትዮጵያ አየር መንገድ የህክምና ማዕከል,የኢትዮጵያ አየር መንገድ የህክምና ማዕከል,,,,8.983,38.789,0,no risk,143
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,5.31,44.673,0,no risk,144
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,5.276,44.542,0,no risk,145
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,5.084,44.876,0,no risk,146
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,5.237,44.651,0,no risk,147
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,5.176,44.767,0,no risk,148
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,5.238,44.675,0,no risk,149
"CODE0RangeIndex(start=1, stop=785, step=1)",ሴማህ የእናቶችና የህፃናት ልዩ የጤና ማዕከል,ሴማህ የእናቶችና የህፃናት ልዩ የጤና ማዕከል,,clinic,,9.009,38.784,0,no risk,150
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.286,38.977,0,no risk,151
"CODE0RangeIndex(start=1, stop=785, step=1)",Gerado,Gerado,,,,10.68,37.264,0,no risk,152
"CODE0RangeIndex(start=1, stop=785, step=1)",Abaye drug store,Abaye drug store,,,,10.68,37.269,0,no risk,153
"CODE0RangeIndex(start=1, stop=785, step=1)",Mekegewa,Mekegewa,,,,12.61,37.47,0,no risk,154
"CODE0RangeIndex(start=1, stop=785, step=1)",Gonder university hospital,Gonder university hospital,,,,12.617,37.451,0,no risk,155
"CODE0RangeIndex(start=1, stop=785, step=1)",Meaza pharmacy,Meaza pharmacy,,pharmacy,,12.613,37.464,0,no risk,156
"CODE0RangeIndex(start=1, stop=785, step=1)",Goha,Goha,,,,12.612,37.47,0,no risk,157
"CODE0RangeIndex(start=1, stop=785, step=1)",Rewina Drugstore,Rewina Drugstore,,,,12.613,37.468,0,no risk,158
"CODE0RangeIndex(start=1, stop=785, step=1)",ንጉስ መድኃኒት ቤት,ንጉስ መድኃኒት ቤት,,,,8.996,38.824,0,no risk,159
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,6.414,38.311,0,no risk,160
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,6.415,38.308,0,no risk,161
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,pharmacy,,8.996,38.788,0,no risk,162
"CODE0RangeIndex(start=1, stop=785, step=1)",ፈለገ ህይወት ሪፈራል ሆስፒታል,ፈለገ ህይወት ሪፈራል ሆስፒታል,,,,11.608,37.37,0,no risk,163
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,14.281,39.461,0,no risk,164
"CODE0RangeIndex(start=1, stop=785, step=1)",ዛግራ መካከለኛ ክሊኒክ,ዛግራ መካከለኛ ክሊኒክ,,,,11.603,37.374,0,no risk,165
"CODE0RangeIndex(start=1, stop=785, step=1)",አፍሪካ መካከለኛ ክሊኒክ,አፍሪካ መካከለኛ ክሊኒክ,,,,11.607,37.369,0,no risk,166
"CODE0RangeIndex(start=1, stop=785, step=1)",ባህር ዳር ፋርማሲ,ባህር ዳር ፋርማሲ,,,,11.606,37.37,0,no risk,167
"CODE0RangeIndex(start=1, stop=785, step=1)",ግሪር መድሃኒት ቤት,ግሪር መድሃኒት ቤት,,pharmacy,,11.588,37.389,0,no risk,168
"CODE0RangeIndex(start=1, stop=785, step=1)",ግዮን ፋርማሲ,ግዮን ፋርማሲ,,,,11.606,37.37,0,no risk,169
"CODE0RangeIndex(start=1, stop=785, step=1)",ካሳ እና የኔው መካከለኛ ክሊኒክ,ካሳ እና የኔው መካከለኛ ክሊኒክ,,,,11.605,37.369,0,no risk,170
"CODE0RangeIndex(start=1, stop=785, step=1)",ፈቨን ፋርማሲ,ፈቨን ፋርማሲ,,,,11.606,37.37,0,no risk,171
"CODE0RangeIndex(start=1, stop=785, step=1)",ባታ,ባታ,,,,11.606,37.37,0,no risk,172
"CODE0RangeIndex(start=1, stop=785, step=1)",የሁልእሸት ሪፈራል ሆስፒታል,የሁልእሸት ሪፈራል ሆስፒታል,,,,9.028,38.751,0,no risk,173
"CODE0RangeIndex(start=1, stop=785, step=1)",ሃይማኖት መድኃኒት መደብር,ሃይማኖት መድኃኒት መደብር,,pharmacy,,11.594,37.39,0,no risk,174
"CODE0RangeIndex(start=1, stop=785, step=1)",ቤዛ መድኃኒት መደብር,ቤዛ መድኃኒት መደብር,,,,11.079,37.883,0,no risk,175
"CODE0RangeIndex(start=1, stop=785, step=1)",ስለሺ መድኃኒት መደብር,ስለሺ መድኃኒት መደብር,,,,10.868,38.272,0,no risk,176
"CODE0RangeIndex(start=1, stop=785, step=1)",ምንትዋብ መድኃኒት መደብር,ምንትዋብ መድኃኒት መደብር,,,,10.868,38.273,0,no risk,177
"CODE0RangeIndex(start=1, stop=785, step=1)",ሹመት መድኃኒት መደብር,ሹመት መድኃኒት መደብር,,,,10.868,38.273,0,no risk,178
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,10.339,37.729,0,no risk,179
"CODE0RangeIndex(start=1, stop=785, step=1)",አዲስ መድኃኒት መደብር,አዲስ መድኃኒት መደብር,,,,10.334,37.729,0,no risk,180
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,10.335,37.729,0,no risk,181
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,10.868,38.273,0,no risk,182
