adm1_name;adm2_name;adm3_pcode;adm3_name;Date;Data_quality_score;disaster_type;ifrc_source;directely affected;Indirectly Affected;Affected;people_dead;people_Injured;Crop Damages;Lost Cattle;people_displaced;house_destroyed;livestock_lost;lost_crops_ha
Afar;Afar Zone 3;20305;Bure Mudaytu;24-08-2007;5;flood;IFRC;NA;30000;30000;NA;NA;NA;0;30000;NA;0;NA
Afar;Afar Zone 3;20305;Bure Mudaytu;01-09-2008;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 3;20305;Bure Mudaytu;22-09-2010;5;flood;other;NA;3670;3670;NA;NA;NA;0;NA;NA;0;NA
Afar;Afar Zone 3;20305;Bure Mudaytu;07-10-2013;6;flood;other;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA
Afar;Afar Zone 5;20305;Bure Mudaytu;15-08-2010;;flood;other;NA;4120;4120;NA;NA;NA;125;4120;NA;125;NA
Afar;Afar Zone 4;20305;Bure Mudaytu;15-08-2010;;flood;other;NA;5000;5000;NA;NA;NA;0;NA;NA;0;NA
Amhara;West Gojam;30710;Bure Town;01-08-2010;;flood;other;NA;1960;1960;NA;NA;521;0;NA;NA;0;521
Amhara;West Gojam;30710;Bure Town;01-08-2010;;flood;other;NA;1960;1960;NA;NA;NA;0;NA;NA;0;NA
OROMIA;West Shewa;40505;Cheliya;01-05-2003;;flood;other;NA;NA;NA;NA;NA;NA;12;NA;NA;12;NA
SNNPR;Gamugofa;71007;Chencha;03-12-2003;;flood;other;NA;NA;NA;NA;5;289;8;346;57;8;289
Somali;Afder;50802;Chereti;01-10-2019;6;flood;other;;;;;;;;;;;
Afar;Afar Zone 1;20106;Chifra;22-07-2010;0;flood;other;NA;11500;11500;NA;NA;1642;0;11500;NA;0;1642
Afar;Afar Zone 1;20106;Chifra;28-07-2010;0;flood;other;NA;18600;18600;NA;NA;865;0;18600;NA;0;865
Afar;Afar Zone 1;20106;Chifra;14-08-2010;;flood;other;NA;15630;15630;NA;NA;160;0;15630;NA;0;160
Afar;Afar Zone 1;20106;Chifra;15-08-2010;;flood;other;NA;600;600;NA;NA;NA;0;NA;NA;0;NA
OROMIA;Arsi;40809;chole;04-05-2016;6;flood;IFRC;405;;;;;;;;17;;
OROMIA;Arsi;40809;Chole;01-04-2016;6;flood;IFRC;405;;;;;;;;;;
OROMIA;OROMIA;40809;chole;24-04-2016;6;flood;other;Arsi;;;;;;;;;;
