"time","Baringo","Bomet","Bungoma","Busia","Elgeyo-Mar","Embu","Garissa","Homa Bay","Nyeri","Isiolo","Kajiado","Kakamega","Kericho","Kiambu","Kilifi","Kirinyaga","Kisii","Kisumu","Kitui","Kwale","Laikipia","Machakos","Makueni","Mandera","Samburu","Marsabit","Meru","Migori","Murang'a","Nairobi","Nakuru","Nandi","Nyamira","Nyandarua","Siaya","Taita Tave","Tana River","Tharaka-Ni","Trans Nzoi","Turkana","Uasin Gish","Vihiga","Wajir","West Pokot","Narok","Mombasa","Lamu"
"16-03-2000",0,0,0.0180381927639246,0.0365727767348289,0,0,0,0.0428768061101437,0,0,0,0.0247799381613731,0,0,0,0,0.00210822303779423,0.00827717501670122,0,0,0,0,0,0,0,0,0,0.0427791923284531,0,0,0,0,0,0,0.0382382422685623,0,0,0,3.6865124002361e-06,0,0,0.00174824660643935,0,1.89937594541334e-08,3.38423924404196e-05,0,0
"17-03-2000",0,1.5534700992248e-07,0.0308607127517462,0.056155938655138,0.00130745302885771,0,0,0.0603459700942039,0,0,0,0.0150439236313105,8.38616233522771e-06,0,0,0,0.00161409075371921,0.0130163822323084,0,0,0,0,0,0,0,0,0,0.0564832724630833,0,0,0,0.00132763350848109,8.49471962283133e-06,0,0.0566947460174561,0,0,0,0.0257352031767368,0.00346458866260946,0.00118174694944173,0.00875758472830057,0,0.0148252248764038,8.1878342825803e-06,0,0
"18-03-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195878837257624,0,0,0,0.00142386951483786,0,0,0
"19-03-2000",0,0,0,0,0,0,0,2.81626114428946e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92156494449591e-06,0,0,0,4.60081901110243e-06,0,0,0,0,0,0,1.37790774346058e-08,0,0,0,0,0,0,0,0.00138836808037013,0,0,0,0
"20-03-2000",0,0,0,2.02139040084148e-06,0,0,0,9.8344326033839e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029660842847079,0,0,0,0,0,0,2.21317918658315e-06,0,0,0,0,0,0,0,0,0,0,0,0
"21-03-2000",0,0,0.0082095805555582,0.0968632325530052,0,0,0,0.0345625951886177,0,0,0,0.00939042121171951,0,0,0,0,0,0.00191414426080883,0,0,0,0,0,0,0,0,0,0.0033316274639219,0,0,0,0,0,0,0.0577813684940338,0,0,0,1.51283757077181e-06,0,0,0,0,9.04641961341213e-09,0,0,0
"22-03-2000",0,0,0.0181139558553696,0.0300697665661573,0,0,0,0.0308563932776451,0,0,0,0.011135901324451,0,0,0,0,0,5.31150234905908e-08,0,0,0,0,0,0,0,0,0,0.0111880209296942,0,0,0,5.44103340871516e-06,0,0,0.0206663124263287,0,0,0,0.000436156697105616,0,5.37915809672995e-07,0,0,2.27216992243484e-06,0,0,0
"23-03-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70412327710801e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-03-2000",0,0,0,0.00520313018932939,0,0,0,0.00574116036295891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00517149083316326,0,0,0,0,0,0,0.00257884431630373,0,0,0,0,0,0,0,0,0,0,0,0
"25-03-2000",0,0,0,2.94548021884111e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000132013752590865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12276563110936e-07,0,0,0,0,0,0,0,0,0,0,0,0
