adm1_name;adm1_pcode;adm2_name;adm2_pcode;adm3_name;adm3_pcode;PCODE;date_recorded;data_source;Data_quality_score;people_dead;people_injured;house_destroyed;house_damaged;household_displaced
Mombasa;KE001;Mvita;KE001006;Tononoka;KE0010060028;KE0010060028;09-11-2012;eoc;7;0;0;0;0;0
Narok;KE033;Narok East;KE033180;Suswa;KE0331800900;KE0331800900;28-12-2009;disinventer;5;3;0;0;0;0
Narok;KE033;Narok East;KE033180;Suswa;KE0331800900;KE0331800900;01-07-2010;disinventer;5;5;0;0;0;0
Narok;KE033;Narok East;KE033180;Suswa;KE0331800900;KE0331800900;01-05-2017;eoc;1;0;0;0;0;0
Narok;KE033;Narok East;KE033180;Suswa;KE0331800900;KE0331800900;17-09-2017;eoc;5;0;0;0;0;0
Turkana;KE023;Turkana South;KE023127;Kaputir ;KE0231270633;KE0231270633;06-01-2010;disinventer;5;0;0;0;0;0
Turkana;KE023;Turkana Central;KE023125;Kalokol;KE0231250626;KE0231250626;01-04-2013;disinventer;6;0;0;0;0;0
Turkana;KE023;Loima;KE023126;Loima;KE0231260631;KE0231260631;09-03-2016;eoc;5;3;0;0;0;0
Turkana;KE023;Turkana Central;KE023125;Kalokol;KE0231250626;KE0231250626;09-03-2016;eoc;5;0;0;0;0;0
Turkana;KE023;Turkana Central;KE023125;Kalokol;KE0231250626;KE0231250626;29-04-2016;eoc;1;0;0;0;0;0
Turkana;KE023;Turkana Central;KE023125;Kalokol;KE0231250626;KE0231250626;02-05-2016;eoc;7;3;0;0;0;0
Marsabit;KE010;Moyale;KE010045;Sololo;KE0100450222;KE0100450222;17-04-2018;eoc;1;0;0;0;0;0
Kwale;KE002;Kinango;KE002010;Kinango;KE0020100046;KE0020100046;08-05-2017;eoc;1;0;0;0;0;0
Marsabit;KE010;Moyale;KE010045;Sololo;KE0100450222;KE0100450222;14-05-2014;eoc;0;1;0;0;0;0
Marsabit;KE010;Moyale;KE010045;Sololo;KE0100450222;KE0100450222;12-11-2017;eoc;5;4;0;0;0;0
Marsabit;KE010;North Horr;KE010046;Dukana;KE0100460228;KE0100460228;16-12-2018;eoc;5;0;0;0;0;77
Marsabit;KE010;Moyale;KE010045;Sololo;KE0100450222;KE0100450222;14-05-2014;eoc;0;1;0;0;0;0
Marsabit;KE010;Moyale;KE010045;Sololo;KE0100450222;KE0100450222;12-11-2017;eoc;5;4;0;0;0;0
Marsabit;KE010;North Horr;KE010046;Dukana;KE0100460228;KE0100460228;16-12-2018;eoc;5;0;0;0;0;77
Turkana;KE023;Turkana West;KE023124;Lokichoggio;KE0231240622;KE0231240622;29-04-2012;eoc;1;0;0;0;0;0
