wkt,name,highway,waterways,depth,vulnerability,fid
"MULTILINESTRING ((41.8716919 9.6098392, 41.8720158 9.6096078))",,residential,,0,no risk,66
"MULTILINESTRING ((41.871045 9.6087785, 41.8711944 9.6090661, 41.8712836 9.6091867, 41.8714613 9.6094692, 41.8716919 9.6098392, 41.8721023 9.6105231))",,residential,,0,no risk,67
"MULTILINESTRING ((41.8751922 9.6074196, 41.8750634 9.6075253, 41.8750496 9.607527, 41.875021 9.6075159, 41.8748249 9.6073395))",,residential,,0,no risk,68
"MULTILINESTRING ((41.8695281 9.5988418, 41.8695811 9.5992266, 41.8695898 9.5993946, 41.8695952 9.5999155, 41.8695851 9.6001007))",,residential,,0,no risk,69
"MULTILINESTRING ((41.8445306 9.6003665, 41.8444844 9.6003281, 41.8444562 9.6002805, 41.8441695 9.5994082, 41.8441311 9.5992913, 41.8440151 9.5990061, 41.8438306 9.5985551, 41.8437896 9.5984134))",,residential,,0,no risk,70
"MULTILINESTRING ((41.8423976 9.5964986, 41.8424553 9.596541, 41.8425773 9.5967155, 41.8426242 9.5967856, 41.8426467 9.5968044, 41.8426779 9.59682, 41.842933 9.5969529, 41.8432452 9.5971261))",,residential,,0,no risk,71
"MULTILINESTRING ((41.8444771 9.5985207, 41.8449055 9.5984279, 41.8450315 9.5984359, 41.8450932 9.5984544))",,residential,,0,no risk,72
"MULTILINESTRING ((41.8524083 9.5913408, 41.852196 9.5911534, 41.8521019 9.5910895, 41.8518987 9.5909639))",,residential,,0,no risk,73
"MULTILINESTRING ((41.8553399 9.6050303, 41.8553332 9.6050177, 41.8553144 9.6050032, 41.8552689 9.6049873, 41.8552286 9.6049807, 41.8551703 9.6049674, 41.8551421 9.6049496))",,residential,,0,no risk,74
"MULTILINESTRING ((41.8558939 9.6044669, 41.8560286 9.6044537, 41.8561989 9.6044326, 41.856333 9.6044101))",,service,,0,no risk,75
"MULTILINESTRING ((41.8543784 9.5967364, 41.8554305 9.5967168, 41.855519 9.5967182, 41.8555552 9.5966996))",,service,,0,no risk,76
"MULTILINESTRING ((41.8517223 9.6092259, 41.8516593 9.6092933, 41.851619 9.6093185, 41.8515741 9.609335, 41.8515218 9.6093495, 41.8512222 9.6094586))",,residential,,0,no risk,77
"MULTILINESTRING ((41.8553245 9.6059215, 41.855352 9.6058904, 41.8553795 9.6058236, 41.8554117 9.6057126, 41.8554311 9.6056286, 41.8554432 9.6055955, 41.8554781 9.6055526, 41.8555324 9.6055116))",,service,,0,no risk,78
"MULTILINESTRING ((41.8505502 9.6034884, 41.8502551 9.6035347, 41.8496945 9.6034964, 41.8495055 9.603466, 41.8491809 9.6034759, 41.8485641 9.603581, 41.847986 9.6036795))",,residential,,0,no risk,79
