source,Area,year,month,Date,people_affected,people_dead,houses_affected,flood
Desinventar 26/8/2019,KAYES,2010,4,04/04/2010,0,0,0,1
Desinventar 26/8/2019,KAYES,2010,9,14/09/2010,0,0,6,1
Desinventar 26/8/2019,BAFOULABE,2010,5,08/05/2010,0,0,0,1
Desinventar 26/8/2019,YELIMANE,2004,8,15/08/2004,0,0,28,1
Desinventar 26/8/2019,YELIMANE,2004,8,15/08/2004,0,0,11,1
Desinventar 26/8/2019,YELIMANE,2004,8,15/08/2004,0,0,41,1
Desinventar 26/8/2019,YELIMANE,2004,8,15/08/2004,0,0,13,1
Desinventar 26/8/2019,YELIMANE,2004,8,15/08/2004,0,0,0,1
Desinventar 26/8/2019,KAYES,2004,1,31/01/2004,0,0,41,1
Desinventar 26/8/2019,BAFOULABE,2010,8,21/08/2010,0,0,0,1
DREF2018,kayes,2018,8,07/08/2018,,,13,1
DREF2018,kita,2018,8,07/08/2018,,1,650,1
Statistique inondation mspc 2017,nioro,2017,6,18/06/2017,,0,7,1
Statistique inondation mspc 2017,kayes,2017,6,22/06/2017,,0,,1
Statistique inondation mspc 2017,yelimane,2017,8,21/08/2017,,0,,1
Desinventar 26/8/2019,TESSALIT,2010,8,01/08/2010,912,0,141,1
Desinventar 26/8/2019,KIDAL,2010,8,01/08/2010,630,1,97,1
Desinventar 26/8/2019,TESSALIT,2010,7,16/07/2010,56,0,8,1
Desinventar 26/8/2019,KIDAL,2004,8,15/08/2004,0,0,7,1
DREF2018,tessalit,2018,8,07/08/2018,,,,1
Desinventar 26/8/2019,NARA,2003,8,01/08/2003,12954,0,0,1
Desinventar 26/8/2019,DIOILA,2007,8,31/08/2007,3709,0,1378,1
Desinventar 26/8/2019,KATI,2013,9,03/09/2013,1088,28,171,1
Desinventar 26/8/2019,BANAMBA,2012,5,14/05/2012,913,0,387,1
Desinventar 26/8/2019,BANAMBA,2007,8,31/08/2007,900,0,50,1
Desinventar 26/8/2019,DIOILA,2007,8,31/08/2007,900,0,448,1
Desinventar 26/8/2019,KANGABA,2011,8,19/08/2011,788,0,35,1
Desinventar 26/8/2019,KANGABA,2011,8,21/08/2011,788,0,41,1
Desinventar 26/8/2019,BANAMBA,2007,8,31/08/2007,700,0,51,1
Desinventar 26/8/2019,KOLOKANI,2010,9,01/09/2010,582,1,25,1
Desinventar 26/8/2019,KANGABA,2007,8,31/08/2007,550,0,0,1
Desinventar 26/8/2019,KOULIKORO,2009,9,02/09/2009,542,0,86,1
Desinventar 26/8/2019,BANAMBA,2012,5,14/05/2012,508,0,150,1
Desinventar 26/8/2019,BANAMBA,2012,5,14/05/2012,505,0,186,1
Desinventar 26/8/2019,KATI,2010,8,01/08/2010,458,0,31,1
Desinventar 26/8/2019,BANAMBA,2012,5,14/05/2012,451,0,153,1
Desinventar 26/8/2019,KATI,2010,9,01/09/2010,435,1,62,1
Desinventar 26/8/2019,BANAMBA,2012,5,14/05/2012,350,0,0,1
Desinventar 26/8/2019,NARA,2012,7,12/07/2012,341,0,67,1
Desinventar 26/8/2019,KATI,2007,8,24/08/2007,322,0,147,1
Desinventar 26/8/2019,KOULIKORO,2009,9,02/09/2009,230,0,35,1
Desinventar 26/8/2019,KOULIKORO,2012,9,03/09/2012,226,0,14,1
Desinventar 26/8/2019,KATI,2010,7,27/07/2010,216,0,92,1
Statistique inondation mspc 2017,DIOILA,2017,5,14/05/2017,157,0,27,1
Statistique inondation mspc 2017,nara,2017,7,07/07/2017,140,0,37,1
Desinventar 26/8/2019,DIOILA,2010,7,19/07/2010,140,0,0,1
Desinventar 26/8/2019,KATI,2010,7,27/07/2010,135,0,52,1
Desinventar 26/8/2019,BANAMBA,2012,5,14/05/2012,132,0,23,1
Desinventar 26/8/2019,DIOILA,2010,7,09/07/2010,130,0,13,1
Desinventar 26/8/2019,KATI,2010,7,27/07/2010,127,0,0,1
Desinventar 26/8/2019,BANAMBA,2009,9,02/09/2009,110,7,0,1
Desinventar 26/8/2019,KANGABA,2011,8,19/08/2011,88,0,16,1
Desinventar 26/8/2019,KANGABA,2011,8,21/08/2011,88,0,18,1
Desinventar 26/8/2019,KOLOKANI,2010,5,08/05/2010,83,0,12,1
Desinventar 26/8/2019,BANAMBA,2012,5,14/05/2012,78,0,29,1
Desinventar 26/8/2019,BANAMBA,2009,9,02/09/2009,70,0,11,1
Desinventar 26/8/2019,KOULIKORO,2009,9,02/09/2009,70,0,9,1
Desinventar 26/8/2019,DIOILA,2010,7,23/07/2010,70,0,8,1
Desinventar 26/8/2019,KOULIKORO,2009,9,02/09/2009,68,0,21,1
Desinventar 26/8/2019,KATI,2011,8,19/08/2011,66,0,20,1
Desinventar 26/8/2019,KATI,2011,8,19/08/2011,66,0,10,1
Desinventar 26/8/2019,KANGABA,2011,8,10/08/2011,61,0,12,1
Desinventar 26/8/2019,KANGABA,2011,8,10/08/2011,61,0,2,1
Desinventar 26/8/2019,DIOILA,2010,7,19/07/2010,60,0,11,1
Desinventar 26/8/2019,KOLOKANI,2010,5,07/05/2010,56,0,12,1
Desinventar 26/8/2019,KOLOKANI,2010,5,07/05/2010,55,0,0,1
Statistique inondation mspc 2017,DIOILA,2017,8,14/08/2017,52,,,1
Desinventar 26/8/2019,DIOILA,2010,5,07/05/2010,49,0,19,1
Desinventar 26/8/2019,KANGABA,2009,9,02/09/2009,48,0,8,1
Desinventar 26/8/2019,KATI,2009,9,18/09/2009,44,0,3,1
Desinventar 26/8/2019,KOLOKANI,2009,9,02/09/2009,40,0,6,1
Desinventar 26/8/2019,DIOILA,2010,7,23/07/2010,40,1,3,1
Desinventar 26/8/2019,DIOILA,2010,7,19/07/2010,40,0,7,1
Desinventar 26/8/2019,KATI,1995,5,25/05/1995,29,0,11,1
Desinventar 26/8/2019,KATI,1995,5,24/05/1995,25,0,0,1
Desinventar 26/8/2019,KOULIKORO,1994,9,21/09/1994,20,0,0,1
Desinventar 26/8/2019,DIOILA,2010,7,19/07/2010,20,0,5,1
Desinventar 26/8/2019,BANAMBA,2010,7,01/07/2010,17,0,6,1
Desinventar 26/8/2019,KOULIKORO,2009,9,18/09/2009,16,0,2,1
Desinventar 26/8/2019,KOULIKORO,2009,9,14/09/2009,16,0,2,1
Desinventar 26/8/2019,KOLOKANI,2010,5,07/05/2010,16,0,0,1
Desinventar 26/8/2019,KOLOKANI,2010,5,07/05/2010,16,0,0,1
Desinventar 26/8/2019,KOULIKORO,2009,8,12/08/2009,10,1,1,1
Desinventar 26/8/2019,NARA,2010,9,09/09/2010,10,0,115,1
Desinventar 26/8/2019,KOULIKORO,2010,5,17/05/2010,10,0,18,1
Desinventar 26/8/2019,KATI,2010,9,18/09/2010,10,2,3,1
Desinventar 26/8/2019,KOULIKORO,2010,9,11/09/2010,8,0,0,1
Desinventar 26/8/2019,NARA,2010,8,30/08/2010,6,2,0,1
Desinventar 26/8/2019,KOULIKORO,1906,8,17/08/1906,4,5,0,1
Desinventar 26/8/2019,KATI,2010,9,16/09/2010,2,0,0,1
Desinventar 26/8/2019,BANAMBA,2010,8,24/08/2010,1,1,0,1
Desinventar 26/8/2019,KATI,1999,8,05/08/1999,0,0,50,1
Desinventar 26/8/2019,KATI,1999,8,20/08/1999,0,0,24,1
Desinventar 26/8/2019,KATI,2011,8,10/08/2011,0,0,43,1
Desinventar 26/8/2019,BANAMBA,2014,6,22/06/2014,0,0,16,1
Desinventar 26/8/2019,KATI,2013,8,28/08/2013,0,0,20,1
Desinventar 26/8/2019,KATI,2013,8,28/08/2013,0,0,75,1
Desinventar 26/8/2019,KATI,2013,8,28/08/2013,0,0,146,1
Desinventar 26/8/2019,KATI,2011,8,10/08/2011,0,0,32,1
Desinventar 26/8/2019,DIOILA,2011,8,22/08/2011,0,0,0,1
Desinventar 26/8/2019,DIOILA,2011,8,22/08/2011,0,0,0,1
Desinventar 26/8/2019,DIOILA,2011,8,22/08/2011,0,0,0,1
Desinventar 26/8/2019,DIOILA,2011,8,22/08/2011,0,1,2,1
Desinventar 26/8/2019,KATI,2005,8,18/08/2005,0,7,0,1
Desinventar 26/8/2019,NARA,2004,6,12/06/2004,0,0,12,1
Desinventar 26/8/2019,DIOILA,1994,8,05/08/1994,0,0,40,1
Desinventar 26/8/2019,KOULIKORO,1999,8,02/08/1999,0,0,252,1
Desinventar 26/8/2019,KANGABA,1997,7,31/07/1997,0,0,70,1
Desinventar 26/8/2019,KOULIKORO,1996,8,11/08/1996,0,0,35,1
Desinventar 26/8/2019,KANGABA,1999,8,19/08/1999,0,0,0,1
Desinventar 26/8/2019,KATI,1999,8,20/08/1999,0,0,0,1
Desinventar 26/8/2019,KATI,1999,8,17/08/1999,0,0,0,1
Desinventar 26/8/2019,BANAMBA,2007,8,06/08/2007,0,0,0,1
Desinventar 26/8/2019,KOULIKORO,2009,9,02/09/2009,0,0,3,1
Desinventar 26/8/2019,KOULIKORO,2009,9,02/09/2009,0,0,0,1
Desinventar 26/8/2019,KANGABA,2010,9,04/09/2010,0,1,93,1
Desinventar 26/8/2019,KOULIKORO,2010,9,06/09/2010,0,0,0,1
Desinventar 26/8/2019,NARA,2010,9,09/09/2010,0,0,169,1
Desinventar 26/8/2019,BANAMBA,2010,7,02/07/2010,0,0,0,1
Desinventar 26/8/2019,KATI,2010,9,03/09/2010,0,0,32,1
Desinventar 26/8/2019,KANGABA,1999,8,18/08/1999,0,0,0,1
DREF2018,kolokani,2018,8,07/08/2018,,,6,1
Statistique inondation mspc 2017,nara,2017,7,07/07/2017,,0,20,1
Statistique inondation mspc 2017,nara,2017,9,03/09/2017,,0,4,1
Statistique inondation mspc 2017,nara,2017,9,03/09/2017,,0,,1
Desinventar 26/8/2019,MOPTI,2012,8,27/08/2012,1898,0,75,1
Desinventar 26/8/2019,BANDIAGARA,2007,7,04/07/2007,1699,1,93,1
Desinventar 26/8/2019,BANDIAGARA,2007,7,04/07/2007,1697,1,349,1
Desinventar 26/8/2019,MOPTI,2001,7,16/07/2001,1180,0,560,1
Desinventar 26/8/2019,MOPTI,2001,7,27/07/2001,1000,0,629,1
Desinventar 26/8/2019,DOUENTZA,2006,8,09/08/2006,880,0,0,1
Desinventar 26/8/2019,DOUENTZA,2009,8,06/08/2009,800,0,152,1
Desinventar 26/8/2019,DOUENTZA,2012,8,30/08/2012,679,0,47,1
