,dis
2006-05-11,2926.791
2006-05-15,3093.0493
2006-05-18,3277.2915
2006-05-22,3591.6667
2006-05-25,3747.5613
2006-05-29,3828.367
2006-06-01,3828.6853
2006-06-05,3825.3062
2006-06-08,3837.5398
2006-06-12,3841.3267
2006-06-15,3817.071
2006-06-19,3750.8164
2006-06-22,3693.729
2006-06-26,3647.0916
2006-06-29,3651.9485
2006-07-03,3645.6567
2006-07-06,3603.4292
2006-07-10,3525.2944
2006-07-13,3457.7637
2006-07-17,3367.6902
2006-07-20,3301.1394
2006-07-24,3220.5205
2006-07-27,3167.1626
2006-07-31,3093.6604
2006-08-03,3038.5588
2006-08-07,2996.069
2006-08-10,2989.9377
2006-08-14,2987.0571
2006-08-17,2996.4192
2006-08-21,2973.5085
2006-08-24,2943.5688
2006-08-28,2913.1465
2006-08-31,2888.1836
2006-09-04,2845.0173
2006-09-07,2803.5264
2006-09-11,2747.464
2006-09-14,2698.3892
2006-09-18,2653.7048
2006-09-21,2635.619
2006-09-25,2634.9116
2006-09-28,2647.99
2006-10-02,2695.0854
2006-10-05,2736.3967
2006-10-09,2755.7026
2006-10-12,2750.5151
2006-10-16,2720.8477
2006-10-19,2689.0867
2006-10-23,2638.9048
2006-10-26,2619.7651
2006-10-30,2607.4126
2006-11-02,2635.9263
2006-11-06,2719.4963
2006-11-09,2772.2292
2006-11-13,2825.3718
2006-11-16,2873.59
2006-11-20,2994.0396
2006-11-23,3144.6084
2006-11-27,3383.6377
2006-11-30,3521.2275
2006-12-04,3682.0725
2006-12-07,3820.4597
2006-12-11,4053.055
2006-12-14,4183.8706
2006-12-18,4266.487
2006-12-21,4294.918
2006-12-25,4360.849
2006-12-28,4449.494
2007-01-02,4566.8535
2007-01-05,4586.018
2007-01-09,4598.36
2007-01-12,4582.2866
2007-01-16,4544.7676
2007-01-19,4489.35
2007-01-23,4391.446
2007-01-26,4333.496
2007-01-30,4278.3325
2007-02-02,4237.4946
2007-02-06,4166.329
2007-02-09,4123.497
2007-02-13,4110.2925
2007-02-16,4146.6377
2007-02-20,4168.236
2007-02-23,4148.243
2007-02-27,4113.602
2007-03-02,4072.0066
2007-03-06,3987.7324
2007-03-09,3923.548
2007-03-13,3863.4375
2007-03-16,3816.3618
2007-03-20,3760.6978
2007-03-23,3702.0923
2007-03-27,3649.7222
2007-03-30,3632.5588
2007-04-03,3597.483
2007-04-06,3582.8066
2007-04-10,3569.5872
2007-04-13,3552.298
2007-04-17,3521.6855
2007-04-20,3468.8499
2007-04-24,3418.8967
2007-04-27,3417.0735
2007-05-01,3486.0874
2007-05-04,3554.0442
2007-05-08,3630.1326
2007-05-11,3673.0425
2007-05-15,3736.9119
2007-05-18,3825.0024
2007-05-22,3918.4194
2007-05-25,3992.69
2007-05-29,4087.7314
2007-06-01,4101.8345
2007-06-05,4078.9617
2007-06-08,4066.0315
2007-06-12,4116.71
2007-06-15,4185.929
2007-06-19,4269.2646
2007-06-22,4309.5557
2007-06-26,4296.7104
2007-06-29,4242.6646
2007-07-03,4135.7617
2007-07-06,4076.028
2007-07-10,4011.3904
2007-07-13,3975.135
2007-07-17,3949.6372
2007-07-20,3958.3435
