County,sub_county,ward,Location,Sub_Location,other,scene,deaths,missing,injured,hh.destroyed,hh.damaged,hh.affected,hh.displaced,hh.evacuated,p.affected,p.displaced,p.evacuted,services.disrupted,roads,lost.livestock,bridge,schools,latrine,wall,hospitals,drainage,inst.church.mosque,health_center,acreage.crops.destroyed,cholera_outbreak,cholera.cases,situation,data_source,dref no,glidenumber,Date,flood
Busia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,ff-2012-000062-ken,01/03/2012,1
Busia,Budalangi,,,Budalangi,,Budalangi,,,,,,,1800,,10000,,,,,,,,,,,,,,300,,,,dref,dec_20th_2012_mdrke020,,20/12/2012,1
Busia,,,,,Busia,Busia,,,,,,,693,,5230,,,,,,,,,,,,,,,,,,dref,may_31st_2013_mdrke025,,31/05/2013,1
Busia,Butere,,,,,Butere,,,,,,,144,,900,,,,,,,,,,,,,,,,,,dref,may_31st_2013_mdrke025,,31/05/2013,1
Busia,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,canoe capsized due to heavy rains,disinventer,,,17/06/2014,1
Busia,,,Bunyala,,,Bunyala,0,2,0,,,,,,,,,,,,,,,,,,,,,,,"at 1023hrs phillip (krcs busia) reported a drowning incident at river suo, bunyalla sub-county. following the continuous heavy rainfall in the county and nearby environs. two people drowned while attempting to cross river suo in busibwabe last evening .search and recovery efforts currently ongoing by krcs busia branch. (brief; 2 missing)",eoc,,,22/11/2015,1
Busia,Budalangi,,,Budalangi,,Budalangi,0,0,0,,,,32,,,,,,,,,,,,,,,,,,,at 0945 kemboi (krcs county manager) reported of flooding incident in busia county. above average rainfall was witnessed in most parts of the county. maduwa and osieko village in budalangi were affected. in maduwa village which is located at the tributary of river yala assessment was conducted and they found that 32 households were displaced by flash floods and have sought for shelter at maduwa primary school. assessment is yet to be done in osieko village. (brief; 32 hhs),eoc,,,27/11/2015,1
Busia,,,,,River Sio,River Sio,0,0,0,,,68,,,,,,,,,,,,,,,,,,,,at 1400hrs kemboi (county manager) reported flooding incident in busia county. above average rainfall was received in nasewa and lunga sub-locations. 68 households in nasewa and lunga sub-location along river sio affected by flooding. planning for response will be done tomorrow. assessment in the neighboring villages of kadeki. (brief: 68hhs),eoc,,,06/12/2015,1
Busia,Budalangi,,,Budalangi,,Budalangi,3,0,0,,,,,,,,,,,,,,,,,,,,,,,"krcs velma reported floods in budalangi at musoma area due to back flow from lake victoria that led to river nzoia bursting its banks at around 1045hrs, krcs response team carrying out assessment in the area and will share report. (brief: 3 fatalities; 1 fatality unconfirmed)",eoc,,,13/05/2016,1
Busia,,,,,Busabwa Youth Polytechnic,Busabwa Youth Polytechnic,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"silas (krcs busia) reported of an incident that was as a result of heavy downpour in most of busia county at 1026hrs. busabwa youth polytechnic was marooned by water following last evening’s heavy downpour, the water subsided later on in the day. rapid assessment was conducted and they found a no of houses were submerged in water, the team assisted in removing the water from the houses. risk of flooding is high, if the rains continue tonight.",eoc,,,10/05/2017,1
Busia,,,,,Musoma,Musoma,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"at 0944hrs hellen krcs west kenya rm reported floods in budalangi at a place called musoma in busia county, the flood was caused by overflow of river nzoia into lake victoria. no hh was affected.",eoc,,,19/09/2017,1
Busia,Teso North,,,,,Teso North,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"e.o.c via media at 1954hrs reported a flash floods in river malakisi in teso north that has overflowed following heavy rains, preliminary reports indicates possible displacements of some households and some livestock’s swept away. assessment to be conducted to determine the level of damage.",eoc,,,17/03/2018,1
