date,year,month,district,DMP
2012-04-01,2012,4,KIRYANDONGO,41427
2012-04-01,2012,4,BUKOMANSIMBI,7581
2012-04-01,2012,4,NAKAPIRIPIRIT,21261
2012-04-01,2012,4,KALUNGU,9206
2012-04-01,2012,4,KWEEN,5179
2012-04-01,2012,4,MITYANA,22189
2012-04-01,2012,4,AMURU,36302
2012-04-01,2012,4,MPIGI,16345
2012-04-01,2012,4,NEBBI,7003
2012-04-01,2012,4,IBANDA,13472
2012-04-01,2012,4,BUTEBO,2342
2012-04-01,2012,4,BUYENDE,10346
2012-04-01,2012,4,OYAM,21740
2012-04-01,2012,4,NAKASEKE,42555
2012-04-01,2012,4,KABERAMAIDO,12090
2012-04-01,2012,4,RUBIRIZI,15942
2012-04-01,2012,4,KYOTARA,10113
2012-04-01,2012,4,DOKOLO,8087
2012-04-01,2012,4,OMORO,16618
2012-04-01,2012,4,LIRA,9460
2012-04-01,2012,4,KAMPALA,926
2012-04-01,2012,4,LWENGO,12385
2012-04-01,2012,4,ALEBTONG,11321
2012-04-01,2012,4,KIBUKU,3679
2012-04-01,2012,4,AMOLATAR,8820
2012-04-01,2012,4,BUDUDA,2652
2012-04-01,2012,4,ISINGIRO,34100
2012-04-01,2012,4,KABALE,7250
2012-04-01,2012,4,BULIISA,14441
2012-04-01,2012,4,MARACHA,3261
2012-04-01,2012,4,NAPAK,17649
2012-04-01,2012,4,SERERE,12703
2012-04-01,2012,4,NAMUTUMBA,6859
2012-04-01,2012,4,KIBAALE,19160
2012-04-01,2012,4,BUNDIBUGYO,13456
2012-04-01,2012,4,KIRUHURA,57964
2012-04-01,2012,4,KIBOGA,21326
2012-04-01,2012,4,BUSHENYI,13103
2012-04-01,2012,4,NAMISINDWA,3249
2012-04-01,2012,4,LYANTONDE,9758
2012-04-01,2012,4,MANAFWA,1850
2012-04-01,2012,4,KYENJOJO,36867
2012-04-01,2012,4,RUKIGA,5184
2012-04-01,2012,4,KALIRO,5981
2012-04-01,2012,4,LUWERO,29780
2012-04-01,2012,4,LAMWO,37426
2012-04-01,2012,4,BUNYANGABU,6146
2012-04-01,2012,4,YUMBE,17733
2012-04-01,2012,4,HOIMA,49356
2012-04-01,2012,4,ABIM,16553
2012-04-01,2012,4,MASAKA,14458
